Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),100277.60,0.00,3383535.05,,,,,,41511.05,,273065.57,373562.83,610605.98,133934.19
Active Decode Throughput Per User (tokens/sec/user),20527.76,0.00,1777930.17,,,,,,5830.52,,55201.12,90770.56,190741.11,39600.10
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),88715.60,0.00,939600.72,,,,,,81333.66,,161495.63,213614.50,348436.11,70052.68
Credit-to-Start Latency (ms),3.24,0.78,53.37,73528.50,1.06,1.28,1.52,2.02,2.74,3.91,5.52,6.69,9.83,2.09
Decode Duration (ms),14.17,0.00,493.95,321328.97,0.00,0.00,0.00,0.00,0.17,13.73,50.94,75.50,134.89,30.19
E2E Output Token Throughput (tokens/sec/user),4016.91,5.96,64571.56,91099414.38,27.00,53.25,86.70,251.47,1344.73,4905.65,11749.29,17247.27,30182.06,6376.23
Effective Concurrency,25.93,0.00,123.00,,,,,,22.00,,53.00,67.00,93.00,20.60
Effective Decode Concurrency,7.22,0.00,35.00,,,,,,6.00,,16.00,19.00,24.00,6.35
Effective Decode Throughput (tokens/sec),83506.63,0.00,3383535.05,,,,,,25410.95,,246847.13,347557.85,582563.81,127823.07
Effective Decode Throughput Per User (tokens/sec/user),17094.57,0.00,1777930.17,,,,,,3415.74,,47094.12,80806.58,178469.93,36940.31
Effective Latency (CO-aware) (ms),54.76,6.32,607.26,1241842.22,10.06,13.26,15.71,23.04,38.40,69.70,117.29,149.96,229.99,47.57
Effective Prefill Concurrency,18.71,0.00,103.00,,,,,,17.00,,40.00,52.00,76.00,16.54
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),83963.36,0.00,939600.72,,,,,,78023.97,,157809.86,209966.71,343444.28,71017.73
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,10.54,1.00,250.00,238938.00,1.00,1.00,1.00,1.00,2.00,15.00,31.00,43.00,76.00,16.92
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,20.64,420.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36
HTTP Connection Overhead (ms),0.02,0.00,36.06,556.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55
HTTP Connection Reused (ratio),0.99,0.00,1.00,22549.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
