Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),12.21,0.45,449.56,836405.68,0.81,1.23,1.74,3.16,6.27,13.36,27.97,43.55,92.78,18.32
Decode Duration (ms),0.33,0.00,59.88,22325.27,0.00,0.00,0.00,0.00,0.00,0.26,0.82,1.62,4.61,1.08
Effective Concurrency,101.87,0.00,128.00,,,,,,103.00,,114.00,117.00,121.00,11.28
Effective Decode Concurrency,1.04,0.00,9.00,,,,,,1.00,,2.00,3.00,4.00,1.05
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),79.22,11.01,533.11,5424993.39,33.29,45.27,51.75,62.01,74.13,89.05,109.57,130.14,189.61,29.90
Effective Prefill Concurrency,100.83,0.00,128.00,,,,,,102.00,,113.00,116.00,120.00,11.28
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.62,1.00,10.00,110668.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,0.80
HTTP Chunks Sent,1.00,1.00,1.00,68478.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,85.27,2278.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.04
HTTP Connection Overhead (ms),0.04,0.00,129.72,2664.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.34
HTTP Connection Reused (ratio),1.00,0.00,1.00,68340.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,818325.47,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1170820.47,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.57,0.64
HTTP DNS Lookup (ms),0.01,0.00,49.18,386.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Duration (excl. conn) (ms),66.78,6.95,316.26,4573281.60,27.93,38.91,45.00,54.58,65.02,76.66,89.44,99.58,128.59,19.56
HTTP Receiving (ms),0.68,0.00,59.86,46769.94,0.00,0.00,0.00,0.00,0.00,0.56,1.97,3.36,7.98,1.74
HTTP Sending (ms),0.54,0.06,85.60,36968.17,0.08,0.11,0.13,0.16,0.20,0.27,1.03,2.01,6.29,1.70
HTTP Total Time (ms),66.82,6.95,316.26,4575946.18,27.93,38.92,45.01,54.59,65.03,76.67,89.48,99.64,129.37,19.69
HTTP Waiting (TTFB) (ms),65.56,6.48,315.99,4489543.50,26.98,37.95,44.00,53.47,63.87,75.40,88.08,98.13,126.50,19.34
Inter Chunk Latency (ms),0.01,0.00,59.88,22325.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
Request Latency (ms),66.65,7.28,316.40,4564011.97,27.94,38.81,44.92,54.46,64.88,76.49,89.25,99.48,128.97,19.57
Time to First Output Token (ms),66.32,6.99,316.40,4541686.70,27.45,38.45,44.56,54.11,64.55,76.15,89.01,99.22,128.38,19.60
Time to First Token (ms),66.32,6.99,316.40,4541686.70,27.45,38.45,44.56,54.11,64.55,76.15,89.01,99.22,128.38,19.60
Time to Second Token (ms),0.00,0.00,7.57,119.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,68478.00
Request Throughput (requests/sec),1520.21


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
