Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.07,0.43,390.29,1436517.27,0.75,1.32,1.97,3.84,8.00,17.47,40.99,73.03,170.78,30.98
Decode Duration (ms),0.27,0.00,79.08,21816.61,0.00,0.00,0.00,0.00,0.00,0.23,0.64,1.31,3.89,1.07
Effective Concurrency,53.91,0.00,127.00,,,,,,61.00,,87.00,92.00,104.00,28.18
Effective Decode Concurrency,0.85,0.00,11.00,,,,,,1.00,,2.00,3.00,4.00,1.04
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),48.64,4.99,530.47,3867123.98,11.13,15.36,18.49,25.37,35.95,51.64,84.10,130.76,277.04,46.75
Effective Prefill Concurrency,53.06,0.00,127.00,,,,,,60.00,,85.00,91.00,103.00,27.81
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.51,1.00,8.00,120072.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,0.75
HTTP Chunks Sent,1.00,1.00,1.00,79507.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,36.43,1149.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46
HTTP Connection Overhead (ms),0.02,0.00,63.21,1420.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
HTTP Connection Reused (ratio),1.00,0.00,1.00,79369.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,950124.18,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,51961.86,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,26.78,271.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),30.34,4.35,342.12,2411971.78,7.75,10.66,12.99,18.12,25.91,36.10,49.43,63.47,117.84,20.43
HTTP Receiving (ms),0.48,0.00,86.23,38266.98,0.00,0.00,0.00,0.00,0.00,0.35,1.27,2.33,6.10,1.65
HTTP Sending (ms),0.55,0.05,99.26,43650.88,0.07,0.09,0.10,0.13,0.17,0.24,0.86,1.88,7.30,2.26
HTTP Total Time (ms),30.35,4.35,342.12,2413392.32,7.75,10.66,12.99,18.12,25.92,36.10,49.47,63.60,118.36,20.47
HTTP Waiting (TTFB) (ms),29.31,3.76,342.00,2330053.92,7.13,10.01,12.28,17.29,25.03,35.11,48.06,61.63,114.04,19.92
Inter Chunk Latency (ms),0.01,0.00,79.08,21816.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),30.36,4.42,342.19,2414100.11,7.82,10.70,13.01,18.11,25.88,36.08,49.45,63.81,118.95,20.57
Time to First Output Token (ms),30.09,4.08,342.19,2392283.50,7.50,10.42,12.72,17.80,25.61,35.83,49.16,63.69,118.83,20.61
Time to First Token (ms),30.09,4.08,342.19,2392283.50,7.50,10.42,12.72,17.80,25.61,35.83,49.16,63.69,118.83,20.61
Time to Second Token (ms),0.00,0.00,5.25,59.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.11
Request Count,79507.00
Request Throughput (requests/sec),1763.47


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
