Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),117594.41,0.00,2211594.42,,,,,,72058.89,,299674.17,386163.33,573197.97,132320.46
Active Decode Throughput Per User (tokens/sec/user),31936.31,0.00,1614965.55,,,,,,20705.86,,75798.97,101322.87,166894.24,36781.89
Active Prefill Throughput (tokens/sec),5456367.25,23060.74,30324147.08,,,,,,3629954.79,,13547833.43,16021913.35,20362977.72,5337437.95
Active Prefill Throughput Per User (tokens/sec/user),603642.01,23060.74,3523183.27,,,,,,587983.82,,1078512.09,1263016.33,1725352.22,383674.46
Active Total Throughput (tokens/sec),4242449.62,375.82,30381579.84,,,,,,1775696.05,,12462914.21,15142321.83,19729497.80,5189157.31
Credit-to-Start Latency (ms),3.98,0.88,120.63,90227.20,1.23,1.49,1.79,2.66,3.54,4.74,6.28,7.63,11.92,2.60
Decode Duration (ms),5.02,0.00,115.46,113951.72,0.00,0.00,0.00,0.00,0.57,6.75,14.54,22.05,47.20,9.19
E2E Output Token Throughput (tokens/sec/user),9757.88,15.03,83512.93,221299029.23,60.82,209.60,309.81,579.07,3692.58,16903.91,27921.57,33967.75,44399.08,11683.61
Effective Concurrency,8.23,0.00,46.00,,,,,,6.00,,20.00,24.00,31.00,7.95
Effective Decode Concurrency,2.77,0.00,22.00,,,,,,2.00,,7.00,9.00,12.00,2.98
Effective Decode Throughput (tokens/sec),84203.93,0.00,2211594.42,,,,,,23222.83,,256689.66,344589.56,534708.41,123890.19
Effective Decode Throughput Per User (tokens/sec/user),22868.11,0.00,1614965.55,,,,,,8636.76,,64323.95,88830.16,152309.46,34294.70
Effective Latency (CO-aware) (ms),20.32,4.72,161.88,460920.95,6.65,8.11,9.22,11.53,15.64,23.26,38.72,52.51,70.79,13.94
Effective Prefill Concurrency,5.46,0.00,42.00,,,,,,2.00,,17.00,21.00,27.00,7.17
Effective Prefill Throughput (tokens/sec),3471448.35,0.00,30324147.08,,,,,,704187.27,,11539449.99,14512771.86,19356864.38,5001532.31
Effective Prefill Throughput Per User (tokens/sec/user),384048.94,0.00,3523183.27,,,,,,235895.64,,964278.55,1138579.05,1586322.22,421888.49
Effective Total Throughput (tokens/sec),3556322.84,0.00,30381579.84,,,,,,817833.08,,11610157.40,14566381.82,19405232.08,5001250.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,8.58,1.00,110.00,194515.00,1.00,1.00,1.00,2.00,3.00,14.00,24.00,30.00,43.00,10.56
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,35.04,602.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.69
HTTP Connection Overhead (ms),0.04,0.00,62.19,858.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08
HTTP Connection Reused (ratio),1.00,0.00,1.00,22618.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),53.75,0.90,622.99,1219097.27,1.52,1.52,1.52,1.55,9.33,105.67,154.61,182.99,263.29,71.38
