Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.12,0.44,776.60,1961977.85,0.83,1.58,2.34,4.55,9.35,20.35,46.49,76.48,170.98,34.51
Decode Duration (ms),0.23,0.00,62.80,22310.32,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.99,3.89,1.18
Effective Concurrency,55.39,0.00,116.00,,,,,,58.00,,80.00,87.00,101.00,21.20
Effective Decode Concurrency,0.50,0.00,9.00,,,,,,0.00,,2.00,2.00,3.00,0.78
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),45.72,5.61,1168.05,4458513.16,10.39,13.14,15.21,20.08,29.67,48.42,88.83,135.40,278.99,53.35
Effective Prefill Concurrency,54.90,0.00,114.00,,,,,,57.00,,79.00,86.00,100.00,21.07
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.25,1.00,4.00,121772.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,97524.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,193.89,3455.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47
HTTP Connection Overhead (ms),0.04,0.00,193.89,3706.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53
HTTP Connection Reused (ratio),1.00,0.00,1.00,97387.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1136859.36,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1667451.55,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,32.50,250.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21
HTTP Duration (excl. conn) (ms),25.32,4.58,563.33,2469508.46,7.33,9.07,10.29,13.10,18.38,28.78,45.83,63.37,123.93,23.17
HTTP Receiving (ms),0.23,0.00,62.79,22590.14,0.00,0.00,0.00,0.00,0.00,0.00,0.44,1.00,3.90,1.19
HTTP Sending (ms),0.61,0.05,194.15,59930.94,0.07,0.09,0.11,0.13,0.18,0.24,0.84,2.17,9.42,2.75
HTTP Total Time (ms),25.36,4.58,563.33,2473215.18,7.33,9.07,10.29,13.10,18.39,28.79,45.87,63.51,124.40,23.33
HTTP Waiting (TTFB) (ms),24.48,4.29,563.15,2386987.38,6.89,8.63,9.83,12.59,17.76,27.90,44.50,61.27,119.50,22.51
Inter Chunk Latency (ms),0.00,0.00,62.80,22310.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
Request Latency (ms),25.60,4.62,563.40,2496363.29,7.43,9.17,10.40,13.23,18.57,29.07,46.28,64.23,125.64,23.53
Time to First Output Token (ms),25.37,4.53,563.40,2474052.97,7.19,8.94,10.19,13.00,18.34,28.83,46.04,64.05,125.29,23.55
Time to First Token (ms),25.37,4.53,563.40,2474052.97,7.19,8.94,10.19,13.00,18.34,28.83,46.04,64.05,125.29,23.55
Time to Second Token (ms),0.00,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,97524.00
Request Throughput (requests/sec),2163.93


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
