Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.90,0.38,86.04,299228.85,0.73,0.96,1.23,2.10,3.87,7.22,12.80,17.88,31.62,6.27
Decode Duration (ms),0.56,0.00,38.33,28421.01,0.00,0.00,0.00,0.00,0.16,0.45,1.56,2.61,6.44,1.40
Effective Concurrency,118.39,0.00,128.00,,,,,,121.00,,128.00,128.00,128.00,10.42
Effective Decode Concurrency,0.65,0.00,17.00,,,,,,0.00,,2.00,3.00,7.00,1.38
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),111.02,7.40,263.04,5628746.14,20.58,60.43,90.96,102.91,113.40,124.16,135.00,142.20,159.55,24.30
Effective Prefill Concurrency,117.74,0.00,128.00,,,,,,121.00,,128.00,128.00,128.00,10.86
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.57,1.00,5.00,79531.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,3.00,0.60
HTTP Chunks Sent,1.00,1.00,1.00,50700.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,16.03,655.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31
HTTP Connection Overhead (ms),0.02,0.00,28.21,798.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Reused (ratio),1.00,0.00,1.00,50562.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,591021.39,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,866868.49,15.60,16.03,16.30,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,12.29,143.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
HTTP Duration (excl. conn) (ms),104.97,5.87,240.28,5322214.80,16.45,53.26,86.73,98.56,108.15,117.42,126.30,132.11,143.93,23.00
HTTP Receiving (ms),0.57,0.00,57.56,29000.20,0.00,0.00,0.00,0.00,0.17,0.47,1.58,2.64,6.51,1.45
HTTP Sending (ms),0.33,0.05,19.36,16759.34,0.07,0.10,0.12,0.16,0.19,0.23,0.46,1.14,3.18,0.67
HTTP Total Time (ms),104.99,5.87,240.28,5323013.36,16.45,53.26,86.73,98.56,108.16,117.43,126.32,132.14,143.99,23.01
HTTP Waiting (TTFB) (ms),104.07,5.50,240.13,5276455.26,16.20,52.63,86.09,97.77,107.26,116.37,125.21,130.89,142.48,22.83
Inter Chunk Latency (ms),0.01,0.00,38.33,28421.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.21
Request Latency (ms),105.11,6.08,240.38,5328899.09,16.49,53.32,86.87,98.68,108.28,117.57,126.41,132.25,144.02,23.01
Time to First Output Token (ms),104.55,5.88,240.38,5300478.08,16.40,53.03,86.56,98.24,107.72,116.89,125.75,131.35,143.05,22.87
Time to First Token (ms),104.55,5.88,240.38,5300478.08,16.40,53.03,86.56,98.24,107.72,116.89,125.75,131.35,143.05,22.87
Time to Second Token (ms),0.00,0.00,3.50,10.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,50700.00
Request Throughput (requests/sec),1126.22


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
