Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),9.16,0.40,161.02,462306.37,0.84,1.11,1.44,2.50,4.82,10.01,21.54,33.84,64.16,12.55
Decode Duration (ms),4.22,0.00,251.10,212958.58,0.00,0.00,0.18,0.36,1.17,2.78,7.58,33.39,45.72,9.86
Effective Concurrency,112.96,0.00,128.00,,,,,,116.00,,126.00,127.00,128.00,12.99
Effective Decode Concurrency,43.85,0.00,120.00,,,,,,44.00,,61.00,66.00,75.00,13.62
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),110.06,5.17,1189.46,5556872.34,38.21,70.02,83.31,96.77,110.11,124.09,137.66,147.33,175.08,24.99
Effective Prefill Concurrency,69.10,0.00,128.00,,,,,,69.00,,92.00,98.00,107.00,17.44
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2.99,1.00,10.00,150965.00,2.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,0.48
HTTP Chunks Sent,1.00,1.00,1.00,50488.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,15.50,594.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Connection Overhead (ms),0.01,0.00,26.29,709.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
HTTP Connection Reused (ratio),1.00,0.00,1.00,50350.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),15.84,14.65,16.02,799694.49,15.28,15.58,15.59,15.88,15.89,15.91,15.92,15.93,15.95,0.14
HTTP Data Sent (KB),17.10,14.64,19.39,863257.86,15.60,16.03,16.30,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,10.79,114.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Duration (excl. conn) (ms),100.69,4.59,1105.70,5083462.83,26.62,58.02,73.54,89.08,102.25,115.60,126.82,133.55,147.80,23.40
HTTP Receiving (ms),39.17,0.00,251.09,1977813.58,0.64,11.90,21.42,39.75,42.57,44.47,47.36,50.55,62.02,11.79
HTTP Sending (ms),0.50,0.06,33.61,25074.26,0.10,0.13,0.16,0.19,0.22,0.29,1.02,1.95,5.03,1.04
HTTP Total Time (ms),100.70,4.59,1105.70,5084172.16,26.66,58.06,73.62,89.09,102.25,115.60,126.82,133.55,147.80,23.38
HTTP Waiting (TTFB) (ms),61.02,3.78,1084.01,3080574.99,15.47,30.33,37.85,48.52,60.54,73.55,85.14,92.17,104.99,19.31
Inter Chunk Latency (ms),0.09,0.00,225.30,212958.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,1.49
Request Latency (ms),65.95,4.20,1085.06,3329611.56,20.29,35.62,42.36,52.43,64.56,78.00,91.52,100.62,121.84,20.73
Time to First Output Token (ms),61.73,3.97,1084.39,3116652.98,15.93,31.11,38.64,49.23,61.24,74.25,85.82,92.86,106.15,19.35
Time to First Token (ms),61.73,3.97,1084.39,3116652.98,15.93,31.11,38.64,49.23,61.24,74.25,85.82,92.86,106.15,19.35
Time to Second Token (ms),0.01,0.00,40.95,711.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,50488.00
Request Throughput (requests/sec),1119.41


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
