Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.14,0.47,363.55,925777.71,0.81,1.29,1.83,3.33,6.51,13.81,31.62,55.08,126.68,23.75
Decode Duration (ms),0.31,0.00,46.56,20591.19,0.00,0.00,0.00,0.00,0.00,0.26,0.79,1.60,4.36,1.02
Effective Concurrency,95.57,0.00,127.00,,,,,,99.00,,111.00,114.00,118.00,18.50
Effective Decode Concurrency,0.95,0.00,9.00,,,,,,1.00,,2.00,3.00,4.00,1.01
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),79.87,9.20,503.63,5228882.70,27.71,43.69,50.08,60.07,72.12,88.03,113.61,143.76,238.44,37.20
Effective Prefill Concurrency,94.62,0.00,127.00,,,,,,99.00,,110.00,113.00,117.00,18.43
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.60,1.00,12.00,104941.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,0.81
HTTP Chunks Sent,1.00,1.00,1.00,65470.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,65.51,2046.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93
HTTP Connection Overhead (ms),0.04,0.00,98.69,2385.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19
HTTP Connection Reused (ratio),1.00,0.00,1.00,65332.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.95,11.95,11.95,782379.29,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1119391.75,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,33.17,339.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),65.48,5.70,248.03,4286999.80,20.56,37.08,43.36,52.46,62.97,74.98,89.62,102.56,138.12,21.42
HTTP Receiving (ms),0.66,0.00,70.35,42959.30,0.00,0.00,0.00,0.00,0.00,0.51,1.92,3.25,7.61,1.71
HTTP Sending (ms),0.59,0.05,74.84,38379.02,0.07,0.11,0.13,0.16,0.20,0.28,1.14,2.21,7.08,1.85
HTTP Total Time (ms),65.52,5.70,316.40,4289385.62,20.56,37.11,43.38,52.47,62.98,75.00,89.67,102.65,138.57,21.50
HTTP Waiting (TTFB) (ms),64.24,5.49,247.76,4205661.48,19.44,36.15,42.34,51.40,61.82,73.73,88.07,100.83,136.13,21.16
Inter Chunk Latency (ms),0.01,0.00,46.56,20591.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),65.38,5.77,248.15,4280740.90,20.63,37.00,43.25,52.36,62.84,74.83,89.50,102.67,139.11,21.49
Time to First Output Token (ms),65.07,5.77,248.15,4260149.71,20.23,36.75,42.98,52.07,62.49,74.53,89.18,102.25,138.94,21.52
Time to First Token (ms),65.07,5.77,248.15,4260149.71,20.23,36.75,42.98,52.07,62.49,74.53,89.18,102.25,138.94,21.52
Time to Second Token (ms),0.00,0.00,11.32,125.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,65470.00
Request Throughput (requests/sec),1454.07


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
