Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),2.60,0.45,45.75,111699.65,0.60,0.72,0.81,1.07,1.90,3.17,5.06,6.71,12.42,2.58
Decode Duration (ms),0.04,0.00,10.09,1734.52,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.25,0.50,0.18
Effective Concurrency,123.95,0.00,128.00,,,,,,125.00,,128.00,128.00,128.00,5.08
Effective Decode Concurrency,0.08,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),132.83,25.64,469.28,5700067.31,65.33,83.73,93.69,110.93,131.26,152.72,173.45,186.26,212.87,32.27
Effective Prefill Concurrency,123.88,0.00,128.00,,,,,,125.00,,128.00,128.00,128.00,5.09
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.20,1.00,5.00,51504.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.41
HTTP Chunks Sent,1.00,1.00,1.00,42912.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,43.37,1108.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
HTTP Connection Overhead (ms),0.03,0.00,83.05,1442.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.99
HTTP Connection Reused (ratio),1.00,0.00,1.00,42774.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,512806.78,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,733704.62,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,39.68,333.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Duration (excl. conn) (ms),130.12,23.97,449.58,5583578.73,62.72,81.11,91.22,108.41,128.66,150.00,170.38,183.38,209.07,31.97
HTTP Receiving (ms),0.08,0.00,32.63,3412.25,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.28,0.90,0.59
HTTP Sending (ms),0.27,0.06,43.76,11776.01,0.10,0.13,0.14,0.16,0.18,0.21,0.29,0.65,1.95,0.75
HTTP Total Time (ms),130.15,23.97,498.62,5585020.82,62.72,81.11,91.22,108.41,128.67,150.01,170.40,183.46,209.24,32.09
HTTP Waiting (TTFB) (ms),129.76,23.83,442.95,5568390.47,62.32,80.73,90.88,108.07,128.33,149.69,170.06,182.94,208.44,31.89
Inter Chunk Latency (ms),0.00,0.00,10.09,1734.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Request Latency (ms),130.19,24.04,449.84,5586700.48,62.83,81.13,91.29,108.47,128.74,150.08,170.46,183.50,209.11,31.97
Time to First Output Token (ms),130.15,24.04,449.84,5584965.96,62.78,81.06,91.25,108.42,128.71,150.05,170.43,183.50,209.05,31.97
Time to First Token (ms),130.15,24.04,449.84,5584965.96,62.78,81.06,91.25,108.42,128.71,150.05,170.43,183.50,209.05,31.97
Time to Second Token (ms),0.00,0.00,2.19,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.08
Request Count,42912.00
Request Throughput (requests/sec),951.79


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
