Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),322622.15,0.00,4172134.06,,,,,,249985.29,,707579.05,885015.51,1256341.69,282364.34
Active Decode Throughput Per User (tokens/sec/user),148028.01,0.00,2645461.90,,,,,,127248.20,,292306.46,353694.76,503157.59,112476.93
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),127743.82,0.00,2199748.06,,,,,,0.00,,441319.43,603120.28,929859.06,217416.33
Credit-to-Start Latency (ms),2.14,0.76,24.03,48470.77,0.96,1.07,1.15,1.31,1.66,2.49,3.72,4.72,7.26,1.33
Decode Duration (ms),1.17,0.00,27.55,26632.96,0.00,0.00,0.00,0.00,0.14,1.71,3.70,5.44,9.59,2.10
E2E Output Token Throughput (tokens/sec/user),9685.64,24.46,107836.77,219660606.05,113.51,157.25,189.68,464.50,2257.67,17597.01,27914.61,34869.62,51160.09,12683.54
Effective Concurrency,8.37,0.00,43.00,,,,,,5.00,,21.00,24.00,30.00,8.83
Effective Decode Concurrency,0.60,0.00,16.00,,,,,,0.00,,2.00,4.00,6.00,1.36
Effective Decode Throughput (tokens/sec),81097.84,0.00,4172134.06,,,,,,0.00,,319671.58,521518.69,940437.27,199069.52
Effective Decode Throughput Per User (tokens/sec/user),37209.73,0.00,2645461.90,,,,,,0.00,,157067.31,231698.43,375393.50,85461.16
Effective Latency (CO-aware) (ms),18.74,5.54,61.62,424934.72,8.60,10.83,12.13,14.73,17.96,21.86,26.13,29.37,36.35,5.76
Effective Prefill Concurrency,7.76,0.00,43.00,,,,,,2.00,,21.00,24.00,29.00,8.92
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),81340.88,0.00,2199748.06,,,,,,0.00,,317960.28,500752.03,842099.47,184047.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.58,1.00,55.00,81095.00,1.00,1.00,1.00,1.00,2.00,5.00,9.00,12.00,19.00,4.18
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,20.28,265.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Connection Overhead (ms),0.02,0.00,35.37,390.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51
HTTP Connection Reused (ratio),1.00,0.00,1.00,22631.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.11,908455.12,0.96,0.96,0.96,0.96,6.77,78.83,115.55,136.72,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,16.93,124.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
HTTP Duration (excl. conn) (ms),16.49,4.07,59.99,373976.62,6.16,7.98,9.48,12.35,15.79,19.81,24.08,27.35,34.44,5.92
