Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),484798.36,0.00,3881536.12,,,,,,371055.16,,1063434.04,1352900.89,1981430.41,431068.98
Active Decode Throughput Per User (tokens/sec/user),288255.99,0.00,2679236.38,,,,,,278862.98,,532372.95,615018.64,779581.17,186654.20
Active Prefill Throughput (tokens/sec),5738550.14,25358.30,23212284.81,,,,,,5321760.00,,10441991.88,12115394.22,15381852.10,3494589.16
Active Prefill Throughput Per User (tokens/sec/user),457520.44,25358.30,2616206.17,,,,,,405794.87,,736411.30,886711.61,1441821.29,248676.10
Active Total Throughput (tokens/sec),5594345.44,2009.36,23212284.81,,,,,,5248555.01,,10395761.45,12007398.11,15335682.65,3562762.41
Credit-to-Start Latency (ms),3.57,0.69,50.58,80924.09,1.10,1.32,1.55,2.39,3.31,4.37,5.62,6.58,9.37,2.01
Decode Duration (ms),0.48,0.00,248.84,10840.97,0.00,0.00,0.00,0.00,0.00,0.69,1.41,1.93,3.70,2.35
E2E Output Token Throughput (tokens/sec/user),10689.89,16.57,136657.89,242435998.24,84.93,134.97,176.34,452.64,2258.34,18241.98,32038.15,41213.20,62309.38,15033.91
Effective Concurrency,8.80,0.00,55.00,,,,,,6.00,,22.00,25.00,31.00,9.30
Effective Decode Concurrency,0.25,0.00,13.00,,,,,,0.00,,1.00,2.00,3.00,0.72
Effective Decode Throughput (tokens/sec),73204.65,0.00,3881536.12,,,,,,0.00,,250748.79,551331.98,1230137.02,241224.18
Effective Decode Throughput Per User (tokens/sec/user),43526.18,0.00,2679236.38,,,,,,0.00,,203585.35,357418.95,582848.23,126146.36
Effective Latency (CO-aware) (ms),21.03,5.30,267.75,476948.77,8.76,10.92,12.42,15.33,19.50,24.74,31.24,35.83,46.88,9.18
Effective Prefill Concurrency,8.55,0.00,54.00,,,,,,5.00,,22.00,25.00,31.00,9.29
Effective Prefill Throughput (tokens/sec),3472872.32,0.00,23212284.81,,,,,,2310806.89,,9109484.10,10893454.92,14516972.19,3906276.49
Effective Prefill Throughput Per User (tokens/sec/user),276883.54,0.00,2616206.17,,,,,,255988.97,,637377.22,768873.22,1226833.63,295702.17
Effective Total Throughput (tokens/sec),3546340.62,0.00,23212284.81,,,,,,2509103.01,,9176567.95,10954254.44,14568720.94,3912720.70
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.76,1.00,15.00,39838.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.04
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,53.59,588.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71
HTTP Connection Overhead (ms),0.04,0.00,78.39,809.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
HTTP Connection Reused (ratio),1.00,0.00,1.00,22619.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.12,908568.15,0.97,0.97,0.97,0.97,6.78,78.83,115.55,136.73,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,24.80,221.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
HTTP Duration (excl. conn) (ms),17.36,4.19,261.30,393605.62,6.10,7.68,8.99,11.62,15.71,21.01,27.58,31.87,42.69,9.02
HTTP Receiving (ms),0.49,0.00,248.83,11122.97,0.00,0.00,0.00,0.00,0.00,0.70,1.42,1.95,3.72,2.35
HTTP Sending (ms),0.27,0.06,54.21,6023.43,0.13,0.15,0.17,0.18,0.20,0.23,0.28,0.35,1.39,0.76
HTTP Total Time (ms),17.39,4.19,261.30,394415.09,6.10,7.68,8.99,11.62,15.71,21.02,27.60,31.95,43.24,9.16
HTTP Waiting (TTFB) (ms),16.60,3.79,217.96,376459.23,5.69,7.15,8.44,11.02,14.99,20.19,26.72,30.90,41.58,8.61
Input Sequence Length (tokens),6891.18,919.00,29826.00,156285043.00,923.00,1004.90,1745.40,3219.00,6278.00,7268.00,13511.40,18496.20,26597.22,5097.53
Inter Chunk Latency (ms),0.00,0.00,247.86,10840.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
Inter Token Latency (ms),0.00,0.00,0.50,51.96,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),338716.59,2009.36,876499.40,3416295506.82,26635.16,84204.98,108218.57,182257.35,335694.60,462455.36,584437.72,658471.90,768300.97,179667.04
Prefill Throughput Per User (tokens/sec/user),465867.41,5045.76,2616190.89,10565406951.94,40608.17,72655.86,112838.10,219221.86,381716.31,607553.07,919295.83,1175208.36,1734037.21,352835.64
Request Latency (ms),17.45,4.28,261.39,395771.57,6.18,7.78,9.09,11.72,15.81,21.11,27.67,31.97,42.85,9.02
Time to First Output Token (ms),16.97,4.10,218.33,384930.59,6.01,7.48,8.80,11.37,15.36,20.56,27.10,31.37,42.10,8.64
Time to First Token (ms),16.97,4.10,218.33,384930.59,6.01,7.48,8.80,11.37,15.36,20.56,27.10,31.37,42.10,8.64
Time to Second Token (ms),0.00,0.00,1.69,13.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),63599.20,0.00,463868.00,,,,,,46743.00,,156546.00,178950.00,225339.00,66625.94
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),6891.18,919.00,29826.00,156285043.00,923.00,1004.90,1745.40,3219.00,6278.00,7268.00,13511.40,18496.20,26597.22,5097.53
Usage Total Tokens (tokens),7062.38,922.00,30029.00,160167745.00,1036.78,1402.00,2138.00,3274.00,6323.00,7322.00,13866.20,18867.10,27040.98,5152.20

Metric,Value
Benchmark Duration (sec),44.91
Input Token Throughput (tokens/sec),3472872.31
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86279.07
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),4.89
Replay Schedule Lag p90 (ms),7.61
Replay Schedule Lag p99 (ms),12.09
Request Count,22679.00
Request Throughput (requests/sec),503.96
Total Input Sequence Length (tokens),156285043.00
Total Output Sequence Length (tokens),3882702.00
Total Output Tokens (tokens),3882702.00
Total Token Throughput (tokens/sec),3559151.38
Total Usage Completion Tokens (tokens),3882702.00
Total Usage Prompt Tokens (tokens),156285043.00
Total Usage Total Tokens (tokens),160167745.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
