Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),127999.89,0.00,2494504.30,,,,,,90481.70,,307679.50,391605.42,578393.72,133288.17
Active Decode Throughput Per User (tokens/sec/user),31477.25,0.00,899140.90,,,,,,21814.54,,71359.93,96090.77,163441.54,34927.11
Active Prefill Throughput (tokens/sec),5464570.64,18611.19,39336418.64,,,,,,3263608.54,,13925383.23,16671835.15,21443533.07,5639039.96
Active Prefill Throughput Per User (tokens/sec/user),534928.68,18611.19,4713677.07,,,,,,487492.98,,979090.20,1150448.00,1535979.57,345065.03
Active Total Throughput (tokens/sec),4293258.80,366.96,39336418.64,,,,,,1568787.23,,12703929.04,15635161.38,20865756.45,5421545.21
Credit-to-Start Latency (ms),3.12,0.72,57.33,70731.24,1.05,1.24,1.38,1.78,2.56,3.76,5.39,6.79,10.96,2.17
Decode Duration (ms),5.36,0.00,108.89,121563.50,0.00,0.00,0.00,0.00,1.55,8.07,14.26,19.59,45.42,8.59
E2E Output Token Throughput (tokens/sec/user),8797.58,15.68,78984.31,199520213.59,63.08,187.13,272.52,586.07,3161.19,15890.65,24956.37,29715.76,39436.42,10484.06
Effective Concurrency,8.79,0.00,53.00,,,,,,6.00,,21.00,25.00,32.00,8.41
Effective Decode Concurrency,2.94,0.00,22.00,,,,,,2.00,,8.00,10.00,14.00,3.42
Effective Decode Throughput (tokens/sec),84663.47,0.00,2494504.30,,,,,,21094.04,,256293.60,341694.90,530632.44,124176.76
Effective Decode Throughput Per User (tokens/sec/user),20820.11,0.00,899140.90,,,,,,7861.39,,58062.38,81158.31,144678.49,32074.41
Effective Latency (CO-aware) (ms),20.57,4.20,142.32,466608.41,6.39,8.10,9.35,12.16,17.18,24.34,34.45,49.66,68.12,13.00
Effective Prefill Concurrency,5.85,0.00,49.00,,,,,,2.00,,18.00,21.00,28.00,7.58
Effective Prefill Throughput (tokens/sec),3469390.23,0.00,39336418.64,,,,,,633148.84,,11782308.43,14901474.07,20216165.21,5206795.31
Effective Prefill Throughput Per User (tokens/sec/user),339619.79,0.00,4713677.07,,,,,,223069.61,,871374.22,1036462.87,1429470.38,376731.73
Effective Total Throughput (tokens/sec),3554582.33,0.00,39336418.64,,,,,,769013.05,,11822348.50,14928138.49,20233613.60,5192456.17
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,9.01,1.00,141.00,204237.00,1.00,1.00,1.00,2.00,3.00,14.00,24.00,30.00,44.00,10.68
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,18.92,313.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Connection Overhead (ms),0.02,0.00,31.23,420.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47
