Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),90171.20,0.00,2859528.78,,,,,,34348.81,,246174.27,337522.43,550224.19,120860.20
Active Decode Throughput Per User (tokens/sec/user),9813.00,0.00,2332483.00,,,,,,2690.00,,23029.73,38969.08,107981.15,22227.80
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),85542.97,0.00,760336.08,,,,,,84226.52,,127969.11,155654.80,245668.35,45907.26
Credit-to-Start Latency (ms),2.64,0.64,28.20,59797.42,0.91,1.06,1.17,1.43,2.03,3.15,4.83,6.23,10.20,1.89
Decode Duration (ms),27.10,0.00,734.89,614638.47,0.00,0.00,0.00,0.00,0.17,39.30,93.27,128.61,227.37,51.64
E2E Output Token Throughput (tokens/sec/user),1760.14,3.73,56982.50,39921835.51,12.27,17.92,29.25,112.24,571.50,2167.74,4391.48,7181.78,15402.51,3130.38
Effective Concurrency,61.82,0.00,128.00,,,,,,53.00,,125.00,126.00,128.00,40.61
Effective Decode Concurrency,13.76,0.00,46.00,,,,,,14.00,,25.00,28.00,33.00,8.58
Effective Decode Throughput (tokens/sec),83465.13,0.00,2859528.78,,,,,,27666.78,,236028.19,327340.06,540144.86,118661.57
Effective Decode Throughput Per User (tokens/sec/user),9083.20,0.00,2332483.00,,,,,,2172.46,,21613.67,36890.30,103688.80,21539.71
Effective Latency (CO-aware) (ms),125.59,7.38,913.99,2848416.52,13.98,21.75,28.74,50.75,102.79,179.04,251.29,303.20,430.14,94.31
Effective Prefill Concurrency,48.06,0.00,121.00,,,,,,40.00,,100.00,105.00,111.00,34.14
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),84002.81,0.00,760336.08,,,,,,83567.48,,127364.55,154492.28,244258.03,46892.54
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,10.63,1.00,351.00,241082.00,1.00,1.00,1.00,1.00,2.00,15.00,31.00,42.00,73.00,16.52
HTTP Chunks Sent,1.00,1.00,1.00,22681.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,12.06,367.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Connection Overhead (ms),0.02,0.00,17.60,445.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37
HTTP Connection Reused (ratio),0.99,0.00,1.00,22543.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),41.07,0.51,476.84,931465.52,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.14,202.15,54.77
HTTP Data Sent (KB),29.37,3.77,127.48,666052.05,4.01,4.38,7.54,13.88,26.62,30.87,57.58,78.78,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,7.98,78.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
HTTP Duration (excl. conn) (ms),122.85,6.10,912.24,2786292.51,11.88,19.61,26.39,48.23,99.98,176.10,248.27,300.62,428.38,94.16
HTTP Receiving (ms),27.37,0.00,734.89,620823.17,0.00,0.00,0.00,0.00,0.30,39.73,93.92,129.04,228.99,51.78
HTTP Sending (ms),0.24,0.06,12.32,5533.43,0.09,0.13,0.15,0.17,0.20,0.23,0.27,0.35,1.41,0.35
HTTP Total Time (ms),122.87,6.10,912.24,2786738.45,11.88,19.61,26.39,48.23,100.00,176.11,248.27,300.62,428.38,94.16
