Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),276989.89,0.00,3876311.94,,,,,,246949.38,,619156.44,765744.45,1101496.79,266081.30
Active Decode Throughput Per User (tokens/sec/user),233842.23,0.00,2614959.95,,,,,,210704.45,,521283.83,622986.12,843561.28,215367.09
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),75102.29,0.00,3086056.38,,,,,,0.00,,334821.43,445461.44,752124.45,172755.48
Credit-to-Start Latency (ms),2.44,0.60,43.78,54577.03,0.85,1.00,1.11,1.33,1.85,2.78,4.45,5.91,10.33,1.91
Decode Duration (ms),0.58,0.00,67.55,12945.36,0.00,0.00,0.00,0.00,0.00,0.66,1.46,2.08,5.85,2.27
E2E Output Token Throughput (tokens/sec/user),1870.02,2.84,100595.49,41811721.53,8.78,11.59,14.58,69.71,260.99,1817.33,4369.08,8417.49,23230.12,4509.79
Effective Concurrency,85.25,0.00,128.00,,,,,,108.00,,127.00,128.00,128.00,45.13
Effective Decode Concurrency,0.31,0.00,6.00,,,,,,0.00,,1.00,1.00,2.00,0.58
Effective Decode Throughput (tokens/sec),72377.86,0.00,3876311.94,,,,,,0.00,,324252.92,483059.87,818788.44,182508.34
Effective Decode Throughput Per User (tokens/sec/user),61102.10,0.00,2614959.95,,,,,,0.00,,283497.53,414572.86,665122.80,150580.49
Effective Latency (CO-aware) (ms),174.69,5.70,523.51,3905820.64,14.37,25.24,37.63,96.47,181.84,245.50,294.79,323.14,382.92,94.60
Effective Prefill Concurrency,84.94,0.00,128.00,,,,,,108.00,,127.00,128.00,128.00,45.07
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),73062.95,0.00,3086056.38,,,,,,0.00,,330544.30,440993.75,747124.35,170830.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.87,1.00,55.00,41779.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,5.00,8.00,1.71
HTTP Chunks Sent,1.00,1.00,1.00,22359.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,27.11,473.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
HTTP Connection Overhead (ms),0.03,0.00,50.68,653.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.73
HTTP Connection Reused (ratio),0.99,0.00,1.00,22221.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.08
HTTP Data Received (KB),41.12,0.51,476.84,919461.81,0.98,0.98,0.98,0.98,6.94,81.05,118.70,140.38,202.20,54.84
HTTP Data Sent (KB),29.42,3.77,127.48,657772.61,4.01,4.39,7.57,13.88,26.63,30.90,57.76,78.85,113.44,21.75
HTTP DNS Lookup (ms),0.01,0.00,23.57,180.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
HTTP Duration (excl. conn) (ms),172.14,4.60,522.07,3848978.91,12.35,22.99,35.59,93.84,179.54,243.12,292.36,321.01,380.80,94.55
HTTP Receiving (ms),0.63,0.00,67.80,14105.99,0.00,0.00,0.00,0.00,0.00,0.71,1.52,2.16,6.63,2.41
HTTP Sending (ms),0.25,0.06,27.54,5498.08,0.10,0.14,0.15,0.18,0.20,0.22,0.26,0.32,1.35,0.50
HTTP Total Time (ms),172.17,4.60,522.07,3849632.70,12.35,22.99,35.59,93.90,179.55,243.15,292.53,321.03,380.80,94.56
HTTP Waiting (TTFB) (ms),171.27,4.42,521.85,3829374.84,11.88,22.28,34.80,92.87,178.69,242.05,291.18,319.89,379.78,94.45
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,67.55,12945.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
Inter Token Latency (ms),0.00,0.00,0.36,31.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.44,1.00,2000.00,3833225.00,3.00,3.00,3.00,3.00,28.00,339.00,497.00,588.00,847.42,230.15
Output Token Count (tokens),171.44,1.00,2000.00,3833225.00,3.00,3.00,3.00,3.00,28.00,339.00,497.00,588.00,847.42,230.15
Output Token Throughput Per User (tokens/sec/user),406892.35,2790.38,2069845.01,3267345587.57,26413.72,129109.29,189402.92,288323.49,381833.72,498061.06,653134.37,756886.39,991074.41,193579.95
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),172.19,4.68,522.22,3850089.72,12.42,23.08,35.67,93.91,179.59,243.08,292.36,320.99,380.89,94.53
Time to First Output Token (ms),171.62,4.68,522.22,3837144.35,12.21,22.68,35.17,93.33,179.05,242.39,291.64,320.13,380.07,94.45
Time to First Token (ms),171.62,4.68,522.22,3837144.35,12.21,22.68,35.17,93.33,179.05,242.39,291.64,320.13,380.07,94.45
Time to Second Token (ms),0.00,0.00,0.21,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),82.98,0.00,4261.00,,,,,,0.00,,317.00,474.00,979.00,209.69
Usage Completion Tokens (tokens),171.44,1.00,2000.00,3833225.00,3.00,3.00,3.00,3.00,28.00,339.00,497.00,588.00,847.42,230.15
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),171.44,1.00,2000.00,3833225.00,3.00,3.00,3.00,3.00,28.00,339.00,497.00,588.00,847.42,230.15

Metric,Value
Benchmark Duration (sec),45.11
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),84848.34
Replay Schedule Degraded,1.00
Replay Schedule Lag p50 (ms),5.86
Replay Schedule Lag p90 (ms),437.72
Replay Schedule Lag p99 (ms),553.26
Request Count,22359.00
Request Throughput (requests/sec),494.92
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),3833225.00
Total Output Tokens (tokens),3833225.00
Total Token Throughput (tokens/sec),84848.34
Total Usage Completion Tokens (tokens),3833225.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),3833225.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
