Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),24.69,0.40,914.40,1884977.07,0.80,1.55,2.37,4.63,9.50,20.81,54.09,107.97,262.86,48.13
Decode Duration (ms),0.13,0.00,75.46,10009.29,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.49,2.11,0.87
Effective Concurrency,45.44,0.00,128.00,,,,,,52.00,,72.00,78.00,89.00,23.84
Effective Decode Concurrency,0.23,0.00,6.00,,,,,,0.00,,1.00,1.00,2.00,0.49
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),51.51,5.48,1142.52,3931963.98,9.78,13.10,15.34,20.31,28.38,44.97,97.29,181.44,420.67,76.96
Effective Prefill Concurrency,45.22,0.00,128.00,,,,,,51.00,,72.00,77.00,88.00,23.76
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.21,1.00,4.00,92169.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.43
HTTP Chunks Sent,1.00,1.00,1.00,76333.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.44,0.00,1081.19,33755.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.36
HTTP Connection Overhead (ms),0.44,0.00,1081.19,33885.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.39
HTTP Connection Reused (ratio),1.00,0.00,1.00,76195.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,889831.08,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,49886.67,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,11.76,130.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Duration (excl. conn) (ms),26.52,4.00,1134.48,2024652.97,6.63,8.66,10.12,13.24,18.19,25.97,44.42,72.91,172.67,36.77
HTTP Receiving (ms),0.13,0.00,75.46,10264.69,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.51,2.19,0.87
HTTP Sending (ms),1.10,0.05,1081.29,83657.76,0.07,0.09,0.10,0.12,0.17,0.24,0.81,2.04,10.44,21.65
HTTP Total Time (ms),26.97,4.00,2210.75,2058538.64,6.63,8.66,10.12,13.24,18.19,25.97,44.42,73.09,172.67,52.28
HTTP Waiting (TTFB) (ms),25.29,3.77,693.62,1930730.52,6.23,8.25,9.68,12.81,17.70,25.35,43.02,69.94,164.45,28.83
Inter Chunk Latency (ms),0.00,0.00,75.46,10009.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
Request Latency (ms),26.81,4.13,1134.53,2046803.07,6.73,8.78,10.23,13.38,18.34,26.20,44.96,73.98,174.07,37.09
Time to First Output Token (ms),26.68,4.03,1134.53,2036793.78,6.57,8.62,10.06,13.23,18.21,26.09,44.87,73.72,174.05,37.10
Time to First Token (ms),26.68,4.03,1134.53,2036793.78,6.57,8.62,10.06,13.23,18.21,26.09,44.87,73.72,174.05,37.10
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,76333.00
Request Throughput (requests/sec),1694.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
