Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),23.95,0.37,478.08,2495428.05,0.87,1.85,2.78,5.12,9.84,21.46,61.14,104.32,216.53,40.45
Decode Duration (ms),0.15,0.00,60.03,16066.16,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.68,3.22,0.90
Effective Concurrency,45.07,0.00,107.00,,,,,,47.00,,62.00,66.00,78.00,15.37
Effective Decode Concurrency,0.37,0.00,21.00,,,,,,0.00,,1.00,2.00,3.00,0.77
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),43.55,3.75,690.12,4536554.20,6.89,9.03,10.60,14.27,21.63,39.17,103.05,171.17,333.33,62.10
Effective Prefill Concurrency,44.70,0.00,106.00,,,,,,47.00,,61.00,66.00,77.00,15.25
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.15,1.00,4.00,119667.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.37
HTTP Chunks Sent,1.00,1.00,1.00,104179.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,176.92,2841.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.12
HTTP Connection Overhead (ms),0.03,0.00,176.92,3129.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.25
HTTP Connection Reused (ratio),1.00,0.00,1.00,104041.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1214438.21,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,68085.96,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,29.90,288.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Duration (excl. conn) (ms),19.32,2.70,323.68,2012804.74,4.33,5.36,6.09,7.75,10.98,18.53,41.27,67.03,131.93,24.49
HTTP Receiving (ms),0.16,0.00,60.02,16648.75,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.72,3.32,0.92
HTTP Sending (ms),0.63,0.05,189.15,65754.12,0.06,0.08,0.09,0.12,0.15,0.22,0.73,2.07,11.23,2.91
HTTP Total Time (ms),19.35,2.70,500.59,2015934.49,4.33,5.36,6.09,7.75,10.98,18.54,41.32,67.28,132.21,24.59
HTTP Waiting (TTFB) (ms),18.53,2.40,298.07,1930401.87,4.02,5.05,5.76,7.38,10.50,17.77,39.52,64.54,127.50,23.66
Inter Chunk Latency (ms),0.00,0.00,58.80,16066.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
Request Latency (ms),19.59,2.76,323.80,2040552.37,4.40,5.44,6.17,7.85,11.11,18.77,41.91,68.18,132.92,24.82
Time to First Output Token (ms),19.43,2.61,323.80,2024486.21,4.27,5.31,6.04,7.71,10.94,18.55,41.75,68.06,132.88,24.84
Time to First Token (ms),19.43,2.61,323.80,2024486.21,4.27,5.31,6.04,7.71,10.94,18.55,41.75,68.06,132.88,24.84
Time to Second Token (ms),0.00,0.00,1.83,9.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.28
Request Count,104179.00
Request Throughput (requests/sec),2300.47


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
