Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),13.27,0.45,278.49,738780.50,0.84,1.24,1.76,3.30,6.93,15.82,33.27,48.44,80.83,17.12
Decode Duration (ms),5.13,0.00,268.64,285477.61,0.00,0.19,0.27,0.67,1.80,4.00,11.12,28.93,47.51,10.58
Effective Concurrency,104.11,0.00,129.00,,,,,,109.00,,124.00,126.00,128.00,19.80
Effective Decode Concurrency,42.28,0.00,95.00,,,,,,43.00,,63.00,69.00,78.00,16.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),97.57,4.09,1187.23,5433494.93,22.12,40.42,55.84,81.70,97.96,114.76,131.69,145.29,186.42,33.62
Effective Prefill Concurrency,61.83,0.00,126.00,,,,,,60.00,,91.00,98.00,109.00,20.49
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2.95,1.00,10.00,164430.00,2.00,2.00,2.00,3.00,3.00,3.00,4.00,4.00,4.00,0.55
HTTP Chunks Sent,1.00,1.00,1.00,55686.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,68.07,2022.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.91
HTTP Connection Overhead (ms),0.04,0.00,91.07,2366.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17
HTTP Connection Reused (ratio),1.00,0.00,1.00,55548.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),15.84,14.95,16.01,882002.92,15.28,15.58,15.59,15.88,15.89,15.91,15.92,15.93,15.95,0.14
HTTP Data Sent (KB),0.65,0.38,0.92,36393.45,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,25.43,343.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),84.07,3.19,1167.88,4681619.83,14.50,29.29,41.83,69.99,87.10,102.65,115.06,123.05,141.23,30.02
HTTP Receiving (ms),34.24,0.00,272.81,1906439.95,0.42,2.40,6.17,19.98,42.26,44.86,48.54,52.75,67.23,17.29
HTTP Sending (ms),0.57,0.05,77.34,31701.14,0.08,0.12,0.14,0.17,0.21,0.29,1.18,2.27,6.46,1.56
HTTP Total Time (ms),84.11,3.19,1167.88,4683986.06,14.50,29.29,41.84,70.01,87.10,102.68,115.13,123.17,141.95,30.09
HTTP Waiting (TTFB) (ms),49.27,2.41,1118.62,2743478.74,10.42,19.82,25.75,35.55,48.02,61.96,73.64,81.34,97.76,21.85
Inter Chunk Latency (ms),0.11,0.00,268.41,285477.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,1.61
Request Latency (ms),55.20,3.25,1132.78,3073687.80,13.96,25.27,30.94,40.57,53.52,67.41,80.95,90.04,111.79,23.39
Time to First Output Token (ms),50.07,2.57,1122.58,2788210.20,11.04,20.51,26.46,36.30,48.75,62.74,74.59,82.48,99.60,22.00
Time to First Token (ms),50.07,2.57,1122.58,2788210.20,11.04,20.51,26.46,36.30,48.75,62.74,74.59,82.48,99.60,22.00
Time to Second Token (ms),0.04,0.00,44.59,2302.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,55686.00
Request Throughput (requests/sec),1234.94


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
