Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.87,0.38,384.29,1371884.57,0.70,1.13,1.67,3.21,6.73,15.34,36.02,59.24,122.36,23.56
Decode Duration (ms),0.28,0.00,83.42,25864.17,0.00,0.00,0.00,0.00,0.00,0.25,0.64,1.29,3.91,1.03
Effective Concurrency,81.75,0.00,125.00,,,,,,85.00,,102.00,106.00,113.00,18.22
Effective Decode Concurrency,1.12,0.00,9.00,,,,,,1.00,,3.00,3.00,4.00,1.10
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),54.77,7.42,562.37,5054260.81,16.59,23.31,27.51,35.34,45.70,60.72,88.13,121.24,211.87,36.01
Effective Prefill Concurrency,80.63,0.00,125.00,,,,,,83.00,,100.00,105.00,112.00,18.11
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.62,1.00,8.00,149080.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,0.83
HTTP Chunks Sent,1.00,1.00,1.00,92289.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,60.98,1684.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63
HTTP Connection Overhead (ms),0.02,0.00,104.46,2025.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86
HTTP Connection Reused (ratio),1.00,0.00,1.00,92151.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1102871.58,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,60313.77,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,43.49,341.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Duration (excl. conn) (ms),39.69,4.62,271.07,3663363.51,11.86,17.80,21.61,28.55,36.97,47.03,59.10,69.90,104.61,17.73
HTTP Receiving (ms),0.55,0.00,83.41,50463.37,0.00,0.00,0.00,0.00,0.00,0.43,1.51,2.63,6.56,1.59
HTTP Sending (ms),0.49,0.05,65.13,44936.13,0.07,0.09,0.11,0.13,0.17,0.22,0.70,1.69,7.14,1.78
HTTP Total Time (ms),39.72,4.62,271.07,3665389.29,11.86,17.80,21.61,28.55,36.97,47.04,59.13,69.99,105.01,17.80
HTTP Waiting (TTFB) (ms),38.66,4.12,266.17,3567964.00,11.24,17.05,20.82,27.69,36.06,45.97,57.81,68.26,101.89,17.38
Inter Chunk Latency (ms),0.01,0.00,83.42,25864.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),39.63,4.67,288.00,3657734.25,11.85,17.76,21.54,28.47,36.85,46.92,59.04,70.06,105.19,17.82
Time to First Output Token (ms),39.35,4.36,288.00,3631870.08,11.57,17.44,21.25,28.17,36.59,46.62,58.80,69.84,105.06,17.85
Time to First Token (ms),39.35,4.36,288.00,3631870.08,11.57,17.44,21.25,28.17,36.59,46.62,58.80,69.84,105.06,17.85
Time to Second Token (ms),0.00,0.00,12.12,82.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,92289.00
Request Throughput (requests/sec),2048.80


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
