Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),5.81,0.44,159.98,398538.27,0.66,0.85,1.05,1.83,3.37,6.42,12.56,19.49,40.33,7.74
Decode Duration (ms),0.05,0.00,15.28,3441.11,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.27,0.88,0.25
Effective Concurrency,114.58,0.00,128.00,,,,,,117.00,,124.00,125.00,127.00,9.85
Effective Decode Concurrency,0.13,0.00,5.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),81.10,10.18,269.77,5561294.02,38.74,49.93,56.59,67.57,80.21,93.25,106.32,115.04,135.58,20.15
Effective Prefill Concurrency,114.46,0.00,128.00,,,,,,117.00,,124.00,125.00,127.00,9.85
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.17,1.00,4.00,80498.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.38
HTTP Chunks Sent,1.00,1.00,1.00,68576.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,48.59,1543.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
HTTP Connection Overhead (ms),0.03,0.00,80.97,1907.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94
HTTP Connection Reused (ratio),1.00,0.00,1.00,68438.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,819496.59,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,44818.86,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,34.12,363.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Duration (excl. conn) (ms),75.14,8.73,252.51,5152950.81,33.78,44.75,51.45,62.46,74.86,87.16,98.81,106.43,122.40,18.83
HTTP Receiving (ms),0.08,0.00,29.74,5693.55,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.30,1.30,0.54
HTTP Sending (ms),0.36,0.05,49.03,24452.59,0.08,0.12,0.13,0.16,0.19,0.23,0.47,1.21,3.57,0.96
HTTP Total Time (ms),75.17,8.73,252.51,5154857.81,33.78,44.75,51.46,62.47,74.87,87.17,98.84,106.46,122.55,18.89
HTTP Waiting (TTFB) (ms),74.70,6.30,251.86,5122804.67,33.31,44.30,51.01,62.04,74.46,86.71,98.37,105.91,121.80,18.81
Inter Chunk Latency (ms),0.00,0.00,15.28,3441.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),75.25,8.79,252.60,5160520.27,33.88,44.86,51.55,62.57,74.97,87.27,98.93,106.50,122.47,18.83
Time to First Output Token (ms),75.20,8.79,252.60,5157079.16,33.81,44.83,51.51,62.52,74.93,87.21,98.90,106.45,122.44,18.83
Time to First Token (ms),75.20,8.79,252.60,5157079.16,33.81,44.83,51.51,62.52,74.93,87.21,98.90,106.45,122.44,18.83
Time to Second Token (ms),0.00,0.00,0.45,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,68576.00
Request Throughput (requests/sec),1522.01


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
