Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),22.17,0.40,961.49,1854771.16,0.81,1.43,2.13,4.23,9.01,20.35,51.35,94.66,199.23,41.74
Decode Duration (ms),0.55,0.00,161.59,45630.42,0.00,0.00,0.00,0.00,0.00,0.37,1.42,2.53,6.89,2.22
Effective Concurrency,55.87,0.00,128.00,,,,,,60.00,,78.00,83.00,91.00,20.00
Effective Decode Concurrency,1.01,0.00,13.00,,,,,,1.00,,3.00,3.00,5.00,1.25
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),52.42,6.73,1301.49,4385332.91,13.03,16.68,19.13,24.49,33.25,50.75,98.90,166.72,320.75,63.56
Effective Prefill Concurrency,54.86,0.00,128.00,,,,,,59.00,,77.00,82.00,90.00,19.67
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.40,1.00,4.00,117135.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.58
HTTP Chunks Sent,1.00,1.00,1.00,83657.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,23.88,869.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Connection Overhead (ms),0.01,0.00,40.20,1056.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45
HTTP Connection Reused (ratio),1.00,0.00,1.00,83519.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,975208.60,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1430354.38,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,16.67,187.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
HTTP Duration (excl. conn) (ms),29.94,4.85,633.60,2504814.49,9.64,12.29,14.07,17.66,23.16,31.73,49.27,74.04,138.39,25.69
HTTP Receiving (ms),0.55,0.00,161.59,46080.95,0.00,0.00,0.00,0.00,0.00,0.38,1.44,2.56,6.94,2.22
HTTP Sending (ms),0.68,0.05,176.30,56863.10,0.07,0.10,0.11,0.14,0.19,0.27,1.08,2.51,10.68,2.67
HTTP Total Time (ms),29.95,4.85,633.60,2505870.96,9.64,12.29,14.07,17.66,23.17,31.74,49.35,74.08,138.39,25.70
HTTP Waiting (TTFB) (ms),28.71,4.66,633.37,2401870.43,9.05,11.64,13.38,16.81,22.16,30.50,47.35,71.04,134.23,24.85
Inter Chunk Latency (ms),0.01,0.00,161.59,45630.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
Request Latency (ms),30.25,4.91,633.73,2530305.49,9.75,12.41,14.20,17.81,23.33,32.00,49.79,75.04,140.02,26.16
Time to First Output Token (ms),29.70,4.91,633.73,2484675.08,9.39,12.02,13.78,17.30,22.76,31.34,49.27,74.47,139.83,26.13
Time to First Token (ms),29.70,4.91,633.73,2484675.08,9.39,12.02,13.78,17.30,22.76,31.34,49.27,74.47,139.83,26.13
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.28
Request Count,83657.00
Request Throughput (requests/sec),1847.09


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
