Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),10.44,0.42,204.52,699946.84,0.76,1.11,1.60,2.99,6.01,12.45,24.76,36.39,62.18,12.62
Decode Duration (ms),0.69,0.00,44.25,45963.79,0.00,0.00,0.00,0.00,0.00,0.52,1.89,3.35,8.84,1.88
Effective Concurrency,105.05,0.00,128.00,,,,,,108.00,,123.00,126.00,128.00,17.33
Effective Decode Concurrency,1.04,0.00,19.00,,,,,,0.00,,3.00,4.00,8.00,1.72
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),81.00,8.48,278.11,5430740.56,33.99,49.88,57.05,67.83,79.57,92.01,105.89,117.03,147.06,21.26
Effective Prefill Concurrency,104.00,0.00,128.00,,,,,,107.00,,123.00,126.00,128.00,17.50
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.48,1.00,4.00,99240.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,67047.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,62.98,2535.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03
HTTP Connection Overhead (ms),0.04,0.00,82.92,2913.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27
HTTP Connection Reused (ratio),1.00,0.00,1.00,66909.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,781582.07,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1146367.17,15.60,16.03,16.30,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,35.81,378.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
HTTP Duration (excl. conn) (ms),70.38,4.42,167.10,4718734.42,24.05,40.78,48.56,59.78,71.00,81.76,91.31,97.23,109.80,17.31
HTTP Receiving (ms),0.70,0.00,59.25,47016.42,0.00,0.00,0.00,0.00,0.00,0.54,1.92,3.41,8.97,1.93
HTTP Sending (ms),0.44,0.05,63.22,29389.76,0.07,0.10,0.12,0.15,0.19,0.24,0.72,1.59,4.72,1.43
HTTP Total Time (ms),70.42,4.42,167.10,4721648.32,24.12,40.86,48.61,59.81,71.02,81.78,91.33,97.30,110.04,17.34
HTTP Waiting (TTFB) (ms),69.24,3.95,166.36,4642328.24,22.69,39.74,47.47,58.75,69.92,80.66,90.02,95.85,108.45,17.23
Inter Chunk Latency (ms),0.01,0.00,44.25,45963.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
Request Latency (ms),70.54,4.29,167.19,4729697.81,24.26,40.95,48.72,59.96,71.16,81.91,91.46,97.41,109.95,17.30
Time to First Output Token (ms),69.86,4.17,167.19,4683734.03,24.00,40.41,48.16,59.34,70.48,81.20,90.60,96.48,109.06,17.18
Time to First Token (ms),69.86,4.17,167.19,4683734.03,24.00,40.41,48.16,59.34,70.48,81.20,90.60,96.48,109.06,17.18
Time to Second Token (ms),0.00,0.00,3.76,14.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,67047.00
Request Throughput (requests/sec),1488.75


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
