Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.52,0.39,407.73,1714915.32,0.82,1.56,2.35,4.62,9.73,21.21,47.36,79.98,168.59,32.77
Decode Duration (ms),0.03,0.00,21.79,2222.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.33
Effective Concurrency,49.50,0.00,128.00,,,,,,54.00,,75.00,80.00,92.00,22.42
Effective Decode Concurrency,0.13,0.00,15.00,,,,,,0.00,,1.00,1.00,2.00,0.41
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),47.22,6.79,651.99,3946800.08,12.40,15.63,17.90,22.96,31.65,48.80,88.80,139.90,271.76,49.51
Effective Prefill Concurrency,49.37,0.00,128.00,,,,,,54.00,,75.00,80.00,92.00,22.36
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,8.00,88584.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,83580.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,61.96,1358.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57
HTTP Connection Overhead (ms),0.02,0.00,90.07,1633.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
HTTP Connection Reused (ratio),1.00,0.00,1.00,83442.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,998797.32,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1429040.91,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,42.81,275.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24
HTTP Duration (excl. conn) (ms),26.44,5.00,342.93,2209637.21,8.98,11.22,12.66,15.81,20.81,28.93,43.61,61.37,119.35,20.41
HTTP Receiving (ms),0.07,0.00,30.55,5843.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.80,0.59
HTTP Sending (ms),0.63,0.05,97.61,52359.18,0.07,0.09,0.11,0.13,0.18,0.25,1.01,2.38,9.43,2.35
HTTP Total Time (ms),26.46,5.00,342.93,2211270.46,8.98,11.22,12.66,15.81,20.81,28.93,43.61,61.38,120.30,20.52
HTTP Waiting (TTFB) (ms),25.74,4.85,327.94,2151434.14,8.64,10.86,12.30,15.40,20.32,28.30,42.46,59.39,115.12,19.76
Inter Chunk Latency (ms),0.00,0.00,21.79,2222.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),26.66,5.06,343.05,2228229.91,9.04,11.29,12.75,15.90,20.93,29.12,44.10,62.31,121.21,20.66
Time to First Output Token (ms),26.63,5.06,343.05,2226007.29,8.97,11.24,12.71,15.87,20.91,29.10,44.08,62.28,121.21,20.67
Time to First Token (ms),26.63,5.06,343.05,2226007.29,8.97,11.24,12.71,15.87,20.91,29.10,44.08,62.28,121.21,20.67
Time to Second Token (ms),0.00,0.00,16.89,29.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,83580.00
Request Throughput (requests/sec),1853.58


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
