Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.69,0.43,462.92,1360609.24,0.79,1.29,1.87,3.53,7.20,16.00,38.53,70.82,186.50,34.01
Decode Duration (ms),0.04,0.00,17.41,3282.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.96,0.33
Effective Concurrency,62.50,0.00,128.00,,,,,,66.00,,92.00,98.00,111.00,25.25
Effective Decode Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),54.31,6.74,707.85,4176186.89,14.83,19.89,23.16,29.94,40.31,56.74,89.67,138.65,310.31,52.30
Effective Prefill Concurrency,62.38,0.00,128.00,,,,,,66.00,,92.00,98.00,110.00,25.22
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.10,1.00,4.00,84651.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.31
HTTP Chunks Sent,1.00,1.00,1.00,76895.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,34.89,1010.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Overhead (ms),0.02,0.00,54.75,1245.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59
HTTP Connection Reused (ratio),1.00,0.00,1.00,76757.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,918910.27,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1314744.42,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,24.74,234.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19
HTTP Duration (excl. conn) (ms),36.35,5.13,366.37,2795511.06,11.16,15.04,17.71,23.03,30.88,41.91,57.96,75.46,136.45,23.53
HTTP Receiving (ms),0.07,0.00,35.17,5459.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,1.58,0.48
HTTP Sending (ms),0.64,0.06,106.88,48844.89,0.08,0.10,0.12,0.15,0.19,0.27,1.03,2.21,8.56,2.60
HTTP Total Time (ms),36.37,5.13,366.37,2796756.16,11.16,15.04,17.71,23.03,30.88,41.91,57.96,75.47,136.82,23.60
HTTP Waiting (TTFB) (ms),35.65,4.72,366.07,2741206.35,10.73,14.64,17.28,22.58,30.36,41.28,57.06,73.99,132.66,22.87
Inter Chunk Latency (ms),0.00,0.00,17.41,3282.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),36.59,5.21,381.57,2813407.22,11.24,15.15,17.81,23.16,31.04,42.10,58.29,76.05,137.56,23.77
Time to First Output Token (ms),36.54,5.21,381.57,2810124.31,11.17,15.09,17.77,23.10,30.99,42.07,58.28,76.02,137.56,23.78
Time to First Token (ms),36.54,5.21,381.57,2810124.31,11.17,15.09,17.77,23.10,30.99,42.07,58.28,76.02,137.56,23.78
Time to Second Token (ms),0.00,0.00,1.64,7.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.05
Request Count,76895.00
Request Throughput (requests/sec),1706.83


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
