Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),371820.69,0.00,3431408.45,,,,,,279675.16,,827337.94,1035526.71,1503731.85,333732.01
Active Decode Throughput Per User (tokens/sec/user),177018.97,0.00,2390402.65,,,,,,162884.67,,329984.41,390368.24,548402.81,121421.77
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),133843.91,0.00,2578266.09,,,,,,0.00,,474919.27,678750.44,1096069.62,249999.89
Credit-to-Start Latency (ms),2.27,0.72,25.80,51513.51,0.96,1.09,1.17,1.36,1.82,2.67,3.94,4.95,7.59,1.42
Decode Duration (ms),0.88,0.00,40.51,19981.08,0.00,0.00,0.00,0.00,0.00,1.37,2.77,3.84,6.69,1.53
E2E Output Token Throughput (tokens/sec/user),10214.36,11.48,113598.00,231651517.93,113.49,159.68,194.23,467.64,2308.92,18762.67,29939.89,36847.75,52589.87,13388.34
Effective Concurrency,8.08,0.00,49.00,,,,,,4.00,,21.00,24.00,30.00,8.94
Effective Decode Concurrency,0.45,0.00,14.00,,,,,,0.00,,2.00,3.00,5.00,1.09
Effective Decode Throughput (tokens/sec),79832.55,0.00,3431408.45,,,,,,0.00,,305931.22,546115.21,1055850.64,217309.54
Effective Decode Throughput Per User (tokens/sec/user),38007.03,0.00,2390402.65,,,,,,0.00,,173158.34,251807.41,397368.70,91917.86
Effective Latency (CO-aware) (ms),18.30,5.72,105.61,414978.63,9.09,11.05,12.30,14.60,17.62,21.12,24.92,27.69,33.85,5.56
Effective Prefill Concurrency,7.62,0.00,47.00,,,,,,2.00,,21.00,24.00,30.00,8.96
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),80054.48,0.00,2578266.09,,,,,,0.00,,302705.20,527399.49,979456.93,204177.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.07,1.00,51.00,69692.00,1.00,1.00,1.00,1.00,2.00,4.00,7.00,10.00,16.00,3.46
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,14.49,220.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Connection Overhead (ms),0.01,0.00,23.09,335.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Reused (ratio),1.00,0.00,1.00,22628.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.11,908455.12,0.96,0.96,0.96,0.96,6.77,78.83,115.55,136.72,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,8.60,114.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
