Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),456424.14,0.00,3629524.33,,,,,,363097.22,,948240.49,1188205.63,1734326.54,373547.54
Active Decode Throughput Per User (tokens/sec/user),287147.18,0.00,2513580.12,,,,,,269877.02,,519120.12,605040.41,775433.10,177471.44
Active Prefill Throughput (tokens/sec),6207276.94,35187.32,25028489.78,,,,,,6146261.45,,11601098.74,12995038.97,15708167.83,3990619.27
Active Prefill Throughput Per User (tokens/sec/user),521054.81,35187.32,3146263.05,,,,,,493605.08,,746742.69,877720.31,1319361.88,213133.09
Active Total Throughput (tokens/sec),6052866.71,304.69,25028489.78,,,,,,5970080.63,,11553136.56,12930909.18,15661098.89,4049065.50
Credit-to-Start Latency (ms),2.52,0.65,61.50,57196.04,0.98,1.11,1.21,1.45,1.99,3.00,4.47,5.58,8.71,1.77
Decode Duration (ms),0.50,0.00,49.05,11315.11,0.00,0.00,0.00,0.00,0.00,0.73,1.52,2.16,4.13,1.00
E2E Output Token Throughput (tokens/sec/user),11997.49,31.23,129111.38,272091007.04,118.22,172.22,210.59,488.09,2520.88,21595.35,35222.53,44393.67,64810.21,16107.41
Effective Concurrency,7.20,0.00,46.00,,,,,,3.00,,20.00,23.00,29.00,8.47
Effective Decode Concurrency,0.26,0.00,10.00,,,,,,0.00,,1.00,2.00,3.00,0.70
Effective Decode Throughput (tokens/sec),74450.47,0.00,3629524.33,,,,,,0.00,,279692.32,552034.12,1124422.06,226271.43
Effective Decode Throughput Per User (tokens/sec/user),46837.96,0.00,2513580.12,,,,,,0.00,,221790.46,358897.23,580079.87,128035.45
Effective Latency (CO-aware) (ms),16.82,4.89,79.99,381428.65,7.58,9.34,10.64,13.01,16.04,19.70,23.99,27.01,32.70,5.47
Effective Prefill Concurrency,6.95,0.00,46.00,,,,,,2.00,,20.00,23.00,28.00,8.43
Effective Prefill Throughput (tokens/sec),3472863.45,0.00,25028489.78,,,,,,1008582.56,,10107325.19,11833800.10,14806469.86,4290224.78
Effective Prefill Throughput Per User (tokens/sec/user),291521.10,0.00,3146263.05,,,,,,301278.35,,659065.14,766496.36,1130296.10,303856.57
Effective Total Throughput (tokens/sec),3547665.62,0.00,25028489.78,,,,,,1181491.73,,10146306.94,11865371.96,14860277.80,4300802.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.85,1.00,17.00,41963.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,4.00,6.00,1.20
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,11.50,188.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
HTTP Connection Overhead (ms),0.01,0.00,17.29,272.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
HTTP Connection Reused (ratio),1.00,0.00,1.00,22629.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.12,908568.15,0.97,0.97,0.97,0.97,6.78,78.83,115.55,136.73,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,6.88,84.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
HTTP Duration (excl. conn) (ms),14.18,3.93,72.64,321664.29,5.88,7.43,8.54,10.66,13.42,16.77,20.66,23.59,29.64,5.03
HTTP Receiving (ms),0.51,0.00,49.05,11676.23,0.00,0.00,0.00,0.00,0.12,0.74,1.54,2.17,4.17,1.00
HTTP Sending (ms),0.27,0.06,13.57,6039.70,0.13,0.15,0.17,0.18,0.20,0.23,0.29,0.45,1.71,0.37
HTTP Total Time (ms),14.20,3.93,72.64,321937.29,5.88,7.43,8.54,10.66,13.42,16.78,20.70,23.65,29.74,5.06
HTTP Waiting (TTFB) (ms),13.40,3.57,50.83,303948.36,5.46,6.94,8.03,10.02,12.70,15.83,19.66,22.57,28.47,4.84
Input Sequence Length (tokens),6891.18,919.00,29826.00,156285043.00,923.00,1004.90,1745.40,3219.00,6278.00,7268.00,13511.40,18496.20,26597.22,5097.53
Inter Chunk Latency (ms),0.00,0.00,49.05,11315.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Inter Token Latency (ms),0.00,0.00,0.22,52.21,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),322364.67,4623.74,926291.08,3324869192.55,35022.66,83946.78,105865.25,170989.12,312977.23,439100.78,563396.12,644394.92,751580.56,174327.36
Prefill Throughput Per User (tokens/sec/user),528714.45,25915.49,3516564.11,11990715032.98,55595.93,90588.56,142367.04,277093.91,456482.23,676084.07,1000450.53,1267138.82,1783716.25,366116.44
Request Latency (ms),14.28,3.99,73.03,323887.82,5.95,7.52,8.63,10.76,13.52,16.87,20.76,23.72,29.74,5.04
Time to First Output Token (ms),13.78,3.89,51.14,312572.70,5.75,7.27,8.37,10.41,13.07,16.25,20.06,22.95,28.88,4.86
Time to First Token (ms),13.78,3.89,51.14,312572.70,5.75,7.27,8.37,10.41,13.07,16.25,20.06,22.95,28.88,4.86
Time to Second Token (ms),0.00,0.00,0.92,14.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),52802.61,0.00,376754.00,,,,,,24816.00,,143399.00,167788.00,208210.00,61053.10
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),6891.18,919.00,29826.00,156285043.00,923.00,1004.90,1745.40,3219.00,6278.00,7268.00,13511.40,18496.20,26597.22,5097.53
Usage Total Tokens (tokens),7062.38,922.00,30029.00,160167745.00,1036.78,1402.00,2138.00,3274.00,6323.00,7322.00,13866.20,18867.10,27040.98,5152.20

Metric,Value
Benchmark Duration (sec),44.91
Input Token Throughput (tokens/sec),3472863.45
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86278.85
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),2.98
Replay Schedule Lag p90 (ms),5.90
Replay Schedule Lag p99 (ms),11.23
Request Count,22679.00
Request Throughput (requests/sec),503.96
Total Input Sequence Length (tokens),156285043.00
Total Output Sequence Length (tokens),3882702.00
Total Output Tokens (tokens),3882702.00
Total Token Throughput (tokens/sec),3559142.30
Total Usage Completion Tokens (tokens),3882702.00
Total Usage Prompt Tokens (tokens),156285043.00
Total Usage Total Tokens (tokens),160167745.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
