Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),429440.63,0.00,3537906.79,,,,,,340943.68,,914701.47,1144348.85,1650386.32,362948.82
Active Decode Throughput Per User (tokens/sec/user),264077.60,0.00,3500493.31,,,,,,226434.61,,526557.54,640291.47,906922.99,197616.32
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),104995.44,0.00,3542981.75,,,,,,0.00,,410900.90,638055.26,1143132.91,245697.91
Credit-to-Start Latency (ms),2.27,0.69,55.16,51547.27,0.93,1.05,1.13,1.31,1.74,2.65,4.08,5.19,8.26,1.61
Decode Duration (ms),0.56,0.00,29.37,12694.89,0.00,0.00,0.00,0.00,0.00,0.69,1.82,2.73,5.50,1.21
E2E Output Token Throughput (tokens/sec/user),8779.85,19.04,113320.44,199118226.30,81.01,118.36,147.60,375.54,1804.84,15295.86,25992.93,33055.52,50204.78,12132.65
Effective Concurrency,10.24,0.00,55.00,,,,,,10.00,,23.00,26.00,32.00,9.36
Effective Decode Concurrency,0.30,0.00,11.00,,,,,,0.00,,1.00,2.00,4.00,0.82
Effective Decode Throughput (tokens/sec),73384.81,0.00,3537906.79,,,,,,0.00,,276322.83,539341.84,1095040.99,220544.46
Effective Decode Throughput Per User (tokens/sec/user),45126.27,0.00,3500493.31,,,,,,0.00,,189727.18,336088.29,612653.78,128661.57
Effective Latency (CO-aware) (ms),22.60,5.97,166.82,512566.42,9.34,11.91,13.59,16.89,21.30,26.94,32.92,37.32,48.82,8.32
Effective Prefill Concurrency,9.95,0.00,53.00,,,,,,10.00,,22.00,25.00,32.00,9.39
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),74124.16,0.00,3542981.75,,,,,,0.00,,299250.18,524386.11,1034209.84,211910.91
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.87,1.00,27.00,42326.00,1.00,1.00,1.00,1.00,1.00,2.00,4.00,5.00,8.00,1.54
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,15.97,240.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
HTTP Connection Overhead (ms),0.02,0.00,28.95,345.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41
HTTP Connection Reused (ratio),1.00,0.00,1.00,22611.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,12.98,104.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17
HTTP Duration (excl. conn) (ms),20.23,4.68,165.39,458700.18,7.41,9.78,11.47,14.62,18.96,24.49,30.30,34.56,46.06,8.11
HTTP Receiving (ms),0.59,0.00,29.39,13465.09,0.00,0.00,0.00,0.00,0.00,0.76,1.86,2.79,5.55,1.22
HTTP Sending (ms),0.24,0.07,16.51,5421.25,0.13,0.16,0.17,0.19,0.20,0.23,0.26,0.29,1.08,0.33
HTTP Total Time (ms),20.24,4.68,165.39,459045.18,7.41,9.78,11.47,14.63,18.96,24.49,30.32,34.58,46.16,8.18
HTTP Waiting (TTFB) (ms),19.39,4.43,157.66,439813.84,7.04,9.31,10.87,13.93,18.15,23.55,29.08,33.39,44.30,7.87
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,15.12,12694.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
