Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),437729.46,0.00,3546716.57,,,,,,353042.83,,926415.04,1154602.39,1647995.59,367654.53
Active Decode Throughput Per User (tokens/sec/user),292101.81,0.00,3546716.57,,,,,,273684.92,,551281.70,647210.55,854249.06,196561.66
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),108464.01,0.00,3214233.75,,,,,,0.00,,417079.54,656624.79,1176864.18,253301.06
Credit-to-Start Latency (ms),2.04,0.72,46.11,46311.43,0.94,1.04,1.11,1.25,1.54,2.25,3.49,4.55,7.54,1.66
Decode Duration (ms),0.43,0.00,42.13,9813.27,0.00,0.00,0.00,0.00,0.00,0.57,1.42,2.06,4.09,0.99
E2E Output Token Throughput (tokens/sec/user),9762.35,13.05,124413.33,221556543.34,85.22,128.55,164.42,422.02,2048.44,16795.21,29031.48,36731.79,56360.40,13573.32
Effective Concurrency,9.36,0.00,51.00,,,,,,8.00,,22.00,25.00,32.00,9.47
Effective Decode Concurrency,0.23,0.00,8.00,,,,,,0.00,,1.00,2.00,3.00,0.63
Effective Decode Throughput (tokens/sec),68550.64,0.00,3546716.57,,,,,,0.00,,254041.64,516520.05,1081989.16,215581.73
Effective Decode Throughput Per User (tokens/sec/user),45744.01,0.00,3546716.57,,,,,,0.00,,207919.81,364275.69,612661.85,131605.41
Effective Latency (CO-aware) (ms),20.61,5.54,102.92,467649.11,8.29,10.39,11.94,14.95,19.03,24.50,30.65,35.45,49.29,8.51
Effective Prefill Concurrency,9.13,0.00,51.00,,,,,,7.00,,22.00,25.00,32.00,9.47
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),69381.41,0.00,3214233.75,,,,,,0.00,,278664.94,498434.78,1032336.64,209174.30
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.68,1.00,37.00,38222.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.23
HTTP Chunks Sent,1.00,1.00,1.00,22695.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,17.89,313.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35
HTTP Connection Overhead (ms),0.02,0.00,25.19,420.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49
HTTP Connection Reused (ratio),1.00,0.00,1.00,22634.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),41.06,0.51,476.84,931768.35,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.14,202.11,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,666398.33,4.01,4.38,7.54,13.88,26.62,30.87,57.49,78.68,113.34,21.70
HTTP DNS Lookup (ms),0.00,0.00,9.96,107.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16
HTTP Duration (excl. conn) (ms),18.46,3.84,91.15,419048.70,6.28,8.28,9.81,12.87,16.99,22.44,28.27,33.16,45.30,8.27
