Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.61,0.43,502.70,1280673.29,0.92,1.60,2.30,4.22,8.35,18.33,43.30,74.05,164.02,30.99
Decode Duration (ms),0.17,0.00,73.89,11659.61,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.65,2.81,1.05
Effective Concurrency,26.00,0.00,113.00,,,,,,20.00,,55.00,60.00,69.00,20.78
Effective Decode Concurrency,0.26,0.00,8.00,,,,,,0.00,,1.00,1.00,2.00,0.56
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),35.62,4.49,779.81,2451492.81,7.33,9.02,10.31,13.36,19.71,34.89,75.36,124.01,261.09,47.55
Effective Prefill Concurrency,25.73,0.00,112.00,,,,,,20.00,,55.00,60.00,68.00,20.64
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.23,1.00,4.00,84604.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,0.46
HTTP Chunks Sent,1.00,1.00,1.00,68821.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,80.60,2317.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
HTTP Connection Overhead (ms),0.04,0.00,106.51,2612.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.18
HTTP Connection Reused (ratio),1.00,0.00,1.00,68684.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,802261.99,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,44979.37,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,38.84,294.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Duration (excl. conn) (ms),16.73,3.46,361.26,1151182.72,5.08,5.99,6.58,7.94,10.53,16.45,31.60,50.51,105.83,19.26
HTTP Receiving (ms),0.17,0.00,73.88,11857.19,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.66,2.84,1.06
HTTP Sending (ms),0.68,0.05,80.77,46566.00,0.07,0.09,0.11,0.13,0.19,0.27,1.17,2.56,9.84,2.48
HTTP Total Time (ms),16.77,3.46,361.26,1153794.82,5.08,5.99,6.58,7.94,10.53,16.45,31.66,50.86,106.79,19.39
HTTP Waiting (TTFB) (ms),15.88,3.12,360.96,1092759.53,4.64,5.52,6.11,7.46,9.97,15.68,29.99,48.42,100.76,18.54
Inter Chunk Latency (ms),0.00,0.00,73.89,11659.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),17.01,3.52,374.97,1170706.78,5.18,6.09,6.69,8.08,10.70,16.74,32.30,51.30,107.63,19.54
Time to First Output Token (ms),16.84,3.32,374.97,1159047.17,4.99,5.89,6.51,7.91,10.55,16.60,32.06,51.18,107.28,19.55
Time to First Token (ms),16.84,3.32,374.97,1159047.17,4.99,5.89,6.51,7.91,10.55,16.60,32.06,51.18,107.28,19.55
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,68821.00
Request Throughput (requests/sec),1528.04


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
