Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.38,0.37,541.26,1755833.74,0.79,1.52,2.27,4.24,8.32,17.58,43.72,75.62,197.81,35.67
Decode Duration (ms),0.15,0.00,63.66,13440.70,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.65,3.11,0.87
Effective Concurrency,33.96,0.00,127.00,,,,,,37.00,,59.00,64.00,74.00,20.42
Effective Decode Concurrency,0.31,0.00,23.00,,,,,,0.00,,1.00,2.00,3.00,0.71
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),36.31,3.74,744.04,3290570.97,6.21,8.19,9.59,12.88,19.36,33.83,75.66,123.92,308.81,54.37
Effective Prefill Concurrency,33.66,0.00,127.00,,,,,,37.00,,58.00,63.00,73.00,20.23
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.15,1.00,4.00,104430.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.37
HTTP Chunks Sent,1.00,1.00,1.00,90623.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,240.45,3890.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61
HTTP Connection Overhead (ms),0.05,0.00,240.45,4173.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69
HTTP Connection Reused (ratio),1.00,0.00,1.00,90485.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1056412.84,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,59229.42,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,53.05,282.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
HTTP Duration (excl. conn) (ms),16.68,2.64,393.57,1511224.54,4.10,5.02,5.69,7.23,10.17,16.60,32.31,50.19,117.69,21.29
HTTP Receiving (ms),0.15,0.00,63.65,13920.25,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.67,3.22,0.89
HTTP Sending (ms),0.63,0.05,240.67,57542.69,0.07,0.08,0.10,0.12,0.16,0.24,0.83,2.13,9.70,3.13
HTTP Total Time (ms),16.72,2.64,512.72,1515397.99,4.10,5.02,5.69,7.23,10.17,16.60,32.37,50.36,118.87,21.50
HTTP Waiting (TTFB) (ms),15.89,2.51,393.32,1439761.61,3.79,4.70,5.35,6.86,9.68,15.84,30.69,47.84,113.02,20.43
Inter Chunk Latency (ms),0.00,0.00,63.66,13440.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
Request Latency (ms),16.93,2.70,393.69,1534263.69,4.18,5.11,5.78,7.33,10.31,16.80,32.81,51.01,119.81,21.64
Time to First Output Token (ms),16.78,2.70,393.69,1520822.99,4.05,4.98,5.64,7.22,10.16,16.63,32.63,50.89,119.81,21.65
Time to First Token (ms),16.78,2.70,393.69,1520822.99,4.05,4.98,5.64,7.22,10.16,16.63,32.63,50.89,119.81,21.65
Time to Second Token (ms),0.00,0.00,2.10,9.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.18
Request Count,90623.00
Request Throughput (requests/sec),2005.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
