Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.54,0.39,496.94,1823192.88,0.84,1.65,2.49,4.73,9.63,20.72,45.44,69.08,165.54,30.81
Decode Duration (ms),0.02,0.00,36.34,2290.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.32
Effective Concurrency,36.76,0.00,128.00,,,,,,42.00,,60.00,64.00,73.00,20.03
Effective Decode Concurrency,0.09,0.00,5.00,,,,,,0.00,,0.00,1.00,1.00,0.31
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),37.29,4.66,712.98,3478791.52,7.76,9.72,11.18,14.72,21.88,39.02,77.84,113.26,264.87,47.02
Effective Prefill Concurrency,36.66,0.00,128.00,,,,,,41.00,,60.00,64.00,73.00,19.99
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,4.00,98632.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,93295.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,67.03,1335.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57
HTTP Connection Overhead (ms),0.02,0.00,67.03,1610.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70
HTTP Connection Reused (ratio),1.00,0.00,1.00,93157.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1114893.47,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,60973.61,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,22.59,275.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21
HTTP Duration (excl. conn) (ms),17.50,3.46,316.35,1633105.79,5.28,6.38,7.09,8.70,11.62,18.13,32.96,47.82,102.97,18.89
HTTP Receiving (ms),0.05,0.00,36.34,4210.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,1.05,0.44
HTTP Sending (ms),0.59,0.05,99.07,54901.97,0.07,0.08,0.10,0.12,0.17,0.24,0.86,2.17,9.45,2.31
HTTP Total Time (ms),17.52,3.46,316.35,1634716.73,5.28,6.38,7.09,8.70,11.62,18.13,32.96,47.83,103.59,18.96
HTTP Waiting (TTFB) (ms),16.87,3.34,316.08,1573992.87,5.02,6.09,6.80,8.39,11.22,17.52,31.62,46.04,99.45,18.25
Inter Chunk Latency (ms),0.00,0.00,36.34,2290.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),17.73,3.51,316.47,1653679.10,5.34,6.44,7.16,8.79,11.75,18.35,33.47,48.53,104.35,19.14
Time to First Output Token (ms),17.70,3.51,316.47,1651388.49,5.28,6.39,7.12,8.76,11.73,18.33,33.45,48.52,104.35,19.15
Time to First Token (ms),17.70,3.51,316.47,1651388.49,5.28,6.39,7.12,8.76,11.73,18.33,33.45,48.52,104.35,19.15
Time to Second Token (ms),0.00,0.00,0.48,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,93295.00
Request Throughput (requests/sec),2071.25


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
