Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.54,0.38,636.14,1583090.86,0.84,1.54,2.29,4.39,8.99,19.34,44.26,72.56,180.41,34.27
Decode Duration (ms),0.03,0.00,27.21,2226.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.30
Effective Concurrency,32.25,0.00,128.00,,,,,,34.00,,58.00,63.00,72.00,20.42
Effective Decode Concurrency,0.08,0.00,3.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),37.47,4.54,878.40,3036284.73,7.44,9.37,10.89,14.46,21.49,37.00,75.46,119.60,282.84,52.50
Effective Prefill Concurrency,32.18,0.00,128.00,,,,,,34.00,,58.00,63.00,72.00,20.39
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,4.00,86393.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,81031.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,194.11,1656.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90
HTTP Connection Overhead (ms),0.02,0.00,194.11,1926.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.02
HTTP Connection Reused (ratio),1.00,0.00,1.00,80894.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,968336.28,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,52958.33,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,29.98,269.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),17.67,3.41,444.69,1431464.86,5.08,6.16,6.88,8.57,11.67,17.91,32.38,49.06,109.39,20.69
HTTP Receiving (ms),0.04,0.00,36.24,3387.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.87,0.37
HTTP Sending (ms),0.62,0.06,208.47,50622.07,0.07,0.09,0.10,0.13,0.18,0.25,1.00,2.34,9.34,2.45
HTTP Total Time (ms),17.69,3.41,444.87,1433391.28,5.08,6.16,6.88,8.57,11.67,17.92,32.41,49.22,110.16,20.78
HTTP Waiting (TTFB) (ms),17.00,3.22,442.40,1377455.24,4.81,5.85,6.56,8.22,11.25,17.27,31.05,47.09,105.15,20.00
Inter Chunk Latency (ms),0.00,0.00,27.21,2226.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),17.92,3.50,444.85,1452034.02,5.16,6.24,6.97,8.69,11.82,18.15,32.89,49.77,111.09,21.03
Time to First Output Token (ms),17.89,3.40,444.85,1449807.98,5.12,6.20,6.94,8.65,11.79,18.12,32.87,49.77,111.04,21.04
Time to First Token (ms),17.89,3.40,444.85,1449807.98,5.12,6.20,6.94,8.65,11.79,18.12,32.87,49.77,111.04,21.04
Time to Second Token (ms),0.00,0.00,3.82,11.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,81031.00
Request Throughput (requests/sec),1798.55


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
