Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),53993.43,0.00,2211859.01,,,,,,25536.92,,127905.78,200302.29,430400.55,87336.63
Active Decode Throughput Per User (tokens/sec/user),33240.57,0.00,1556167.26,,,,,,16164.08,,75129.75,118704.27,291346.28,58035.12
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),23710.59,0.00,1726888.65,,,,,,0.00,,76381.73,118168.21,254750.67,55114.05
Credit-to-Start Latency (ms),134.67,0.69,4875.14,1780250.81,1.74,3.39,5.38,12.98,39.63,110.96,329.06,586.15,1533.66,311.11
Decode Duration (ms),2.50,0.00,1156.95,33101.55,0.00,0.00,0.00,0.00,0.00,0.00,5.17,12.24,44.36,16.71
E2E Output Token Throughput (tokens/sec/user),3141.33,0.74,75913.45,41525230.30,6.87,23.76,42.32,112.37,650.77,4300.20,10183.26,13704.51,22260.74,5170.88
Effective Concurrency,31.56,0.00,85.00,,,,,,30.00,,55.00,61.00,71.00,17.63
Effective Decode Concurrency,0.75,0.00,11.00,,,,,,0.00,,2.00,3.00,5.00,1.14
Effective Decode Throughput (tokens/sec),23396.96,0.00,2211859.01,,,,,,0.00,,68922.55,116561.57,302267.00,63412.79
Effective Decode Throughput Per User (tokens/sec/user),14404.08,0.00,1556167.26,,,,,,0.00,,37991.66,67534.65,194326.56,41602.95
Effective Latency (CO-aware) (ms),242.57,8.14,5537.25,3206582.53,21.61,31.57,39.59,59.64,103.10,214.87,558.91,922.61,2249.88,447.89
Effective Prefill Concurrency,30.81,0.00,82.00,,,,,,29.00,,54.00,59.00,69.00,17.18
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),23628.52,0.00,1726888.65,,,,,,0.00,,76222.69,117923.95,254750.67,55036.21
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.35,1.00,15.00,17876.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,5.00,0.92
HTTP Chunks Sent,1.00,1.00,1.00,13219.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),1.42,0.00,982.91,18823.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,21.93
HTTP Connection Overhead (ms),1.54,0.00,982.91,20305.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.12,23.60
HTTP Connection Reused (ratio),0.99,0.00,1.00,13083.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.10
HTTP Data Received (KB),40.82,0.51,476.84,539608.97,0.98,0.98,0.98,1.70,6.94,80.81,119.41,141.34,202.34,55.14
HTTP Data Sent (KB),29.66,3.77,127.48,392050.90,4.02,4.45,7.79,13.93,26.60,31.02,57.58,80.27,116.15,22.13
HTTP DNS Lookup (ms),0.11,0.00,165.20,1481.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.20
HTTP Duration (excl. conn) (ms),106.96,5.73,4030.66,1413904.59,13.18,19.98,24.51,34.59,54.16,99.14,212.81,363.32,910.87,196.88
HTTP Receiving (ms),2.55,0.00,968.38,33700.89,0.00,0.00,0.00,0.00,0.00,0.00,5.53,12.45,44.54,15.79
HTTP Sending (ms),3.68,0.06,983.10,48670.92,0.09,0.12,0.14,0.20,0.25,0.32,2.29,7.94,75.84,26.92
HTTP Total Time (ms),108.50,5.73,4030.66,1434209.64,13.18,19.98,24.51,34.59,54.16,99.38,217.63,371.77,938.41,201.93
HTTP Waiting (TTFB) (ms),100.73,5.46,4030.47,1331532.79,12.20,18.73,22.65,32.20,50.42,91.60,197.34,334.19,867.61,190.42
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.01,0.00,1156.95,33101.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27
Inter Token Latency (ms),0.01,0.00,3.71,79.59,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.10,0.04
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),170.17,1.00,2000.00,2249513.00,3.00,3.00,3.00,6.00,28.00,338.00,500.00,592.00,848.00,231.39
Output Token Count (tokens),170.17,1.00,2000.00,2249513.00,3.00,3.00,3.00,6.00,28.00,338.00,500.00,592.00,848.00,231.39
Output Token Throughput Per User (tokens/sec/user),120129.03,269.67,1641734.31,283864886.73,3169.48,9431.42,15575.64,30922.04,67420.44,139591.71,296119.02,417183.93,707702.71,153684.30
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),107.84,5.80,4030.75,1425538.12,13.29,20.11,24.75,34.80,54.48,99.83,215.80,368.26,918.86,198.10
Time to First Output Token (ms),105.34,5.80,4030.75,1392436.57,12.79,19.48,23.54,33.19,51.86,95.94,211.29,365.04,914.79,197.54
Time to First Token (ms),105.34,5.80,4030.75,1392436.57,12.79,19.48,23.54,33.19,51.86,95.94,211.29,365.04,914.79,197.54
Time to Second Token (ms),0.00,0.00,0.68,1.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),258.36,0.00,4219.00,,,,,,0.00,,992.00,1169.00,1865.00,437.18
Usage Completion Tokens (tokens),170.17,1.00,2000.00,2249513.00,3.00,3.00,3.00,6.00,28.00,338.00,500.00,592.00,848.00,231.39
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),170.17,1.00,2000.00,2249513.00,3.00,3.00,3.00,6.00,28.00,338.00,500.00,592.00,848.00,231.39

Metric,Value
Benchmark Duration (sec),45.05
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),49768.93
Replay Schedule Degraded,1.00
Replay Schedule Lag p50 (ms),5978.94
Replay Schedule Lag p90 (ms),16848.63
Replay Schedule Lag p99 (ms),17832.40
Request Count,13219.00
Request Throughput (requests/sec),292.46
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),2249513.00
Total Output Tokens (tokens),2249513.00
Total Token Throughput (tokens/sec),49768.93
Total Usage Completion Tokens (tokens),2249513.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),2249513.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
