Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),150012.88,0.00,3988382.23,,,,,,83428.09,,380770.50,513204.18,833936.14,180120.92
Active Decode Throughput Per User (tokens/sec/user),104230.63,0.00,3988382.23,,,,,,60111.51,,252953.44,356095.69,580136.67,122711.02
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),63313.88,0.00,2356230.30,,,,,,0.00,,202714.28,309145.31,580867.80,123676.28
Credit-to-Start Latency (ms),11.04,0.85,347.81,250362.55,1.32,1.78,2.26,3.74,6.65,12.09,22.11,33.55,79.65,15.68
Decode Duration (ms),1.14,0.00,117.11,25961.53,0.00,0.00,0.00,0.00,0.00,0.63,3.62,6.24,14.73,3.59
E2E Output Token Throughput (tokens/sec/user),6848.79,12.54,112022.33,155323626.54,52.84,92.76,123.55,292.84,1513.57,11842.78,20353.40,25734.01,38522.65,9523.22
Effective Concurrency,13.43,0.00,53.00,,,,,,13.00,,23.00,26.00,33.00,7.41
Effective Decode Concurrency,0.60,0.00,14.00,,,,,,0.00,,2.00,2.00,4.00,0.91
Effective Decode Throughput (tokens/sec),60732.45,0.00,3988382.23,,,,,,0.00,,199191.07,337604.39,655619.97,136223.85
Effective Decode Throughput Per User (tokens/sec/user),42197.23,0.00,3988382.23,,,,,,0.00,,133147.29,225944.10,453031.05,93347.68
Effective Latency (CO-aware) (ms),37.69,7.60,432.17,854733.70,12.59,16.45,19.00,24.16,32.19,43.76,58.79,76.90,134.98,23.50
Effective Prefill Concurrency,12.83,0.00,50.00,,,,,,13.00,,22.00,25.00,32.00,7.31
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),61406.07,0.00,2356230.30,,,,,,0.00,,198663.75,303969.90,572995.52,122278.67
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.63,1.00,29.00,36991.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,7.00,1.27
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,59.20,770.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85
HTTP Connection Overhead (ms),0.04,0.00,65.27,965.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08
HTTP Connection Reused (ratio),1.00,0.00,1.00,22605.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,30.42,195.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34
HTTP Duration (excl. conn) (ms),26.39,5.32,288.75,598570.22,8.87,11.74,13.72,17.46,23.01,31.35,41.66,50.16,82.61,14.98
HTTP Receiving (ms),1.19,0.00,117.13,26952.03,0.00,0.00,0.00,0.00,0.00,0.76,3.73,6.30,14.81,3.59
HTTP Sending (ms),0.63,0.07,59.43,14335.21,0.13,0.17,0.19,0.22,0.25,0.31,1.20,2.50,6.93,1.69
HTTP Total Time (ms),26.44,5.32,288.75,599536.03,8.87,11.74,13.72,17.46,23.01,31.38,41.72,50.26,83.56,15.12
HTTP Waiting (TTFB) (ms),24.57,4.88,288.49,557282.98,8.31,10.97,12.83,16.27,21.33,29.03,38.73,47.14,77.35,14.04
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.01,0.00,98.57,25961.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
Inter Token Latency (ms),0.00,0.00,1.82,69.89,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.02
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),218199.81,550.76,1662432.83,1423753776.82,14127.68,33510.47,48888.81,85945.82,160628.27,302201.14,461903.47,576368.94,818351.13,182147.17
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),26.60,5.41,288.86,603282.54,8.97,11.89,13.88,17.64,23.23,31.55,41.94,50.37,83.20,15.05
Time to First Output Token (ms),25.46,5.24,288.86,577321.01,8.78,11.54,13.39,16.96,22.15,29.99,39.96,48.65,79.84,14.32
Time to First Token (ms),25.46,5.24,288.86,577321.01,8.78,11.54,13.39,16.96,22.15,29.99,39.96,48.65,79.84,14.32
Time to Second Token (ms),0.00,0.00,5.48,22.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),173.75,0.00,4226.00,,,,,,0.00,,578.00,818.00,1363.00,309.49
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86

Metric,Value
Benchmark Duration (sec),44.92
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86278.40
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),9.50
Replay Schedule Lag p90 (ms),29.48
Replay Schedule Lag p99 (ms),90.87
Request Count,22679.00
Request Throughput (requests/sec),503.96
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),3882702.00
Total Output Tokens (tokens),3882702.00
Total Token Throughput (tokens/sec),86278.40
Total Usage Completion Tokens (tokens),3882702.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),3882702.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
