Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),65494.67,0.00,2704885.65,,,,,,49737.76,,115515.66,167066.62,380057.42,69167.22
Active Decode Throughput Per User (tokens/sec/user),13817.48,0.00,1792770.98,,,,,,6615.59,,22309.65,42631.55,154169.66,34444.73
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),58735.64,0.00,1170685.67,,,,,,54216.78,,103563.13,125239.92,215529.73,48515.14
Credit-to-Start Latency (ms),9.67,0.54,327.73,167562.61,0.95,1.20,1.46,2.45,4.57,9.28,20.18,33.11,91.71,18.48
Decode Duration (ms),17.02,0.00,845.63,294976.69,0.00,0.00,0.00,0.00,0.00,17.57,58.27,88.65,180.84,38.87
E2E Output Token Throughput (tokens/sec/user),976.52,1.16,35399.35,16924022.32,3.43,6.56,10.46,37.11,186.12,1122.86,2476.22,3704.11,11154.96,2200.20
Effective Concurrency,118.21,0.00,128.00,,,,,,123.00,,127.00,128.00,128.00,18.90
Effective Decode Concurrency,6.64,0.00,28.00,,,,,,7.00,,13.00,14.00,17.00,4.54
Effective Decode Throughput (tokens/sec),58218.10,0.00,2704885.65,,,,,,44949.39,,109477.92,157375.75,362372.03,68382.94
Effective Decode Throughput Per User (tokens/sec/user),12282.33,0.00,1792770.98,,,,,,6071.85,,19823.04,37712.53,140708.90,32763.97
Effective Latency (CO-aware) (ms),318.08,9.31,1712.86,5512576.12,25.69,50.41,76.06,142.85,256.10,420.24,651.98,802.46,1156.92,244.35
Effective Prefill Concurrency,111.57,0.00,128.00,,,,,,115.00,,125.00,127.00,128.00,18.78
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),58654.74,0.00,1170685.67,,,,,,54158.37,,103509.62,125084.25,215529.73,48530.63
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
