Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),11.37,0.40,189.98,789192.76,0.77,1.20,1.73,3.23,6.56,13.46,26.06,38.44,73.60,14.42
Decode Duration (ms),0.62,0.00,118.14,43135.40,0.00,0.00,0.00,0.00,0.00,0.41,1.66,3.08,8.44,2.00
Effective Concurrency,102.35,0.00,128.00,,,,,,106.00,,122.00,125.00,128.00,19.44
Effective Decode Concurrency,0.97,0.00,26.00,,,,,,0.00,,3.00,4.00,7.00,1.58
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),77.92,4.93,308.87,5410135.86,11.69,19.42,29.39,65.78,79.93,93.57,109.69,123.64,163.21,30.34
Effective Prefill Concurrency,101.38,0.00,128.00,,,,,,105.00,,121.00,124.00,128.00,19.50
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.43,1.00,4.00,99128.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.57
HTTP Chunks Sent,1.00,1.00,1.00,69435.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,31.29,1013.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43
HTTP Connection Overhead (ms),0.02,0.00,39.59,1179.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54
HTTP Connection Reused (ratio),1.00,0.00,1.00,69297.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,809419.53,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1187184.24,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.58,0.64
HTTP DNS Lookup (ms),0.00,0.00,12.80,165.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
HTTP Duration (excl. conn) (ms),66.36,3.64,225.12,4607728.93,7.31,11.51,17.12,58.08,71.59,82.78,92.94,99.70,117.04,26.17
HTTP Receiving (ms),0.63,0.00,118.14,43762.62,0.00,0.00,0.00,0.00,0.00,0.42,1.69,3.11,8.55,2.03
HTTP Sending (ms),0.43,0.05,46.24,30003.09,0.06,0.08,0.10,0.13,0.18,0.24,0.88,1.73,4.73,1.07
HTTP Total Time (ms),66.38,3.64,225.12,4608908.44,7.31,11.51,17.12,58.09,71.61,82.80,92.96,99.74,117.06,26.17
HTTP Waiting (TTFB) (ms),65.30,3.47,212.15,4533963.21,6.96,11.11,16.49,57.06,70.51,81.58,91.63,98.38,115.37,25.89
Inter Chunk Latency (ms),0.01,0.00,118.14,43135.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
Request Latency (ms),66.54,3.69,225.19,4620295.90,7.38,11.63,17.25,58.26,71.77,82.97,93.12,99.97,117.33,26.19
Time to First Output Token (ms),65.92,3.69,213.25,4577160.50,7.27,11.45,16.98,57.73,71.12,82.20,92.26,99.06,116.58,25.98
Time to First Token (ms),65.92,3.69,213.25,4577160.50,7.27,11.45,16.98,57.73,71.12,82.20,92.26,99.06,116.58,25.98
Time to Second Token (ms),0.00,0.00,3.80,13.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.14
Request Count,69435.00
Request Throughput (requests/sec),1537.86


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
