Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),554464.12,0.00,4450460.20,,,,,,440116.13,,1139730.67,1436989.52,2037537.13,438487.39
Active Decode Throughput Per User (tokens/sec/user),319626.69,0.00,1910649.93,,,,,,303783.54,,543931.73,627660.98,796391.18,172293.51
Active Prefill Throughput (tokens/sec),9070356.96,29597.25,30423904.71,,,,,,9068080.25,,15774463.45,17544093.04,21096445.53,5162806.74
Active Prefill Throughput Per User (tokens/sec/user),729384.69,29597.25,3033411.55,,,,,,695541.05,,1016500.12,1229444.76,1874360.91,288654.95
Active Total Throughput (tokens/sec),8578743.67,1569.41,30423904.71,,,,,,8599294.12,,15677723.17,17336616.67,20989093.30,5395354.73
Credit-to-Start Latency (ms),1.79,0.76,19.94,40612.55,0.97,1.07,1.14,1.27,1.51,1.97,2.72,3.44,5.45,0.93
Decode Duration (ms),0.45,0.00,12.87,10297.62,0.00,0.00,0.00,0.00,0.00,0.71,1.42,1.91,3.42,0.79
E2E Output Token Throughput (tokens/sec/user),15766.76,25.38,159955.71,357605925.37,155.95,236.23,294.35,579.53,3451.16,28790.99,46476.89,57643.91,81845.60,20817.14
Effective Concurrency,5.39,0.00,57.00,,,,,,0.00,,19.00,22.00,29.00,8.19
Effective Decode Concurrency,0.23,0.00,11.00,,,,,,0.00,,1.00,2.00,3.00,0.71
Effective Decode Throughput (tokens/sec),75710.45,0.00,4450460.20,,,,,,0.00,,257827.12,584118.41,1275093.79,250000.66
Effective Decode Throughput Per User (tokens/sec/user),43643.63,0.00,1910649.93,,,,,,0.00,,211248.47,357858.70,582053.14,126878.94
Effective Latency (CO-aware) (ms),12.49,5.14,87.84,283274.08,6.44,7.38,8.07,9.56,11.72,14.40,17.39,19.80,27.67,4.44
Effective Prefill Concurrency,5.16,0.00,55.00,,,,,,0.00,,19.00,22.00,29.00,8.12
Effective Prefill Throughput (tokens/sec),3472672.83,0.00,30423904.71,,,,,,0.00,,12594386.79,15040326.24,19057455.70,5444619.71
Effective Prefill Throughput Per User (tokens/sec/user),279251.90,0.00,3033411.55,,,,,,0.00,,818020.55,948653.56,1515151.04,396989.85
Effective Total Throughput (tokens/sec),3548657.87,0.00,30423904.71,,,,,,0.00,,12683831.97,15092340.85,19151383.08,5467316.49
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.77,1.00,20.00,40233.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,5.00,1.03
HTTP Chunks Sent,1.00,1.00,1.00,22681.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,13.14,204.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Connection Overhead (ms),0.01,0.00,21.25,305.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Connection Reused (ratio),1.00,0.00,1.00,22623.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.12,908570.08,0.97,0.97,0.97,0.97,6.78,78.83,115.55,136.71,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,666005.71,4.01,4.38,7.54,13.88,26.62,30.87,57.52,78.70,113.35,21.70
HTTP DNS Lookup (ms),0.00,0.00,8.11,100.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
HTTP Duration (excl. conn) (ms),10.60,3.66,86.50,240415.78,4.89,5.70,6.29,7.67,9.81,12.44,15.43,17.88,25.74,4.39
HTTP Receiving (ms),0.47,0.00,12.87,10567.77,0.00,0.00,0.00,0.00,0.00,0.72,1.42,1.92,3.44,0.80
HTTP Sending (ms),0.22,0.06,13.65,5038.85,0.12,0.15,0.17,0.18,0.20,0.22,0.25,0.28,0.61,0.26
HTTP Total Time (ms),10.61,3.66,86.50,240721.37,4.89,5.70,6.29,7.67,9.82,12.44,15.44,17.90,26.01,4.44
HTTP Waiting (TTFB) (ms),9.91,3.32,83.24,224809.15,4.53,5.33,5.86,7.11,9.14,11.66,14.54,16.87,24.72,4.24
Input Sequence Length (tokens),6891.14,919.00,29826.00,156297946.00,923.00,1005.00,1746.00,3219.00,6278.00,7268.00,13510.00,18496.00,26597.20,5097.31
Inter Chunk Latency (ms),0.00,0.00,12.40,10297.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Inter Token Latency (ms),0.00,0.00,0.30,46.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.19,1.00,2000.00,3882708.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.20,229.85
Output Token Count (tokens),171.19,1.00,2000.00,3882708.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.20,229.85
Output Token Throughput Per User (tokens/sec/user),344931.28,3307.57,974818.69,3548997921.62,49498.44,96034.50,118824.78,196848.30,340269.13,463136.68,585921.92,656973.68,760815.57,174232.84
Prefill Throughput Per User (tokens/sec/user),708300.29,15624.49,3783133.07,16064958787.10,75779.30,126627.81,187526.29,379507.31,625283.38,933063.91,1299326.62,1630191.89,2221413.50,462560.23
Request Latency (ms),10.69,3.72,86.59,242402.27,4.97,5.79,6.38,7.76,9.91,12.53,15.52,17.94,25.78,4.39
Time to First Output Token (ms),10.23,3.55,83.55,232104.66,4.83,5.64,6.16,7.43,9.46,11.99,14.86,17.21,25.30,4.25
Time to First Token (ms),10.23,3.55,83.55,232104.66,4.83,5.64,6.16,7.43,9.46,11.99,14.86,17.21,25.30,4.25
Time to Second Token (ms),0.00,0.00,0.60,10.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),40080.70,0.00,373801.00,,,,,,0.00,,135460.00,162603.00,209787.00,59596.12
Usage Completion Tokens (tokens),171.19,1.00,2000.00,3882708.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.20,229.85
Usage Prompt Tokens (tokens),6891.14,919.00,29826.00,156297946.00,923.00,1005.00,1746.00,3219.00,6278.00,7268.00,13510.00,18496.00,26597.20,5097.31
Usage Total Tokens (tokens),7062.33,922.00,30029.00,160180654.00,1036.80,1402.00,2138.00,3274.00,6323.00,7322.00,13866.00,18867.00,27040.80,5151.97

Metric,Value
Benchmark Duration (sec),44.95
Input Token Throughput (tokens/sec),3472672.83
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86267.13
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),1.55
Replay Schedule Lag p90 (ms),3.03
Replay Schedule Lag p99 (ms),6.03
Request Count,22681.00
Request Throughput (requests/sec),503.93
Total Input Sequence Length (tokens),156297946.00
Total Output Sequence Length (tokens),3882708.00
Total Output Tokens (tokens),3882708.00
Total Token Throughput (tokens/sec),3558939.96
Total Usage Completion Tokens (tokens),3882708.00
Total Usage Prompt Tokens (tokens),156297946.00
Total Usage Total Tokens (tokens),160180654.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
