Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.01,0.40,560.42,1645758.91,0.88,1.69,2.51,4.76,9.42,19.69,45.81,72.89,141.53,28.99
Decode Duration (ms),0.15,0.00,151.73,13261.04,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.64,3.24,1.04
Effective Concurrency,32.55,0.00,119.00,,,,,,35.00,,59.00,65.00,78.00,21.81
Effective Decode Concurrency,0.30,0.00,22.00,,,,,,0.00,,1.00,2.00,3.00,0.76
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),35.95,3.66,802.36,3111364.68,6.65,8.71,10.23,13.85,21.14,37.12,78.89,118.62,222.89,44.76
Effective Prefill Concurrency,32.25,0.00,119.00,,,,,,35.00,,59.00,64.00,77.00,21.61
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.14,1.00,4.00,99090.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.37
HTTP Chunks Sent,1.00,1.00,1.00,86558.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,67.72,1392.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
HTTP Connection Overhead (ms),0.02,0.00,77.26,1534.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.72
HTTP Connection Reused (ratio),1.00,0.00,1.00,86420.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1009026.22,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,56572.79,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,10.15,142.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11
HTTP Duration (excl. conn) (ms),16.69,2.44,496.41,1444725.10,4.30,5.32,6.03,7.69,10.86,17.53,33.35,48.94,94.44,18.49
HTTP Receiving (ms),0.16,0.00,151.73,13711.33,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.66,3.30,1.06
HTTP Sending (ms),0.57,0.05,129.13,49232.55,0.07,0.08,0.10,0.12,0.17,0.24,0.81,1.99,9.16,2.21
HTTP Total Time (ms),16.71,2.44,496.41,1446259.79,4.30,5.32,6.03,7.69,10.86,17.54,33.40,49.00,94.52,18.54
HTTP Waiting (TTFB) (ms),15.96,2.19,496.13,1381781.21,4.00,4.97,5.67,7.28,10.35,16.79,31.94,47.06,91.17,17.88
Inter Chunk Latency (ms),0.00,0.00,151.73,13261.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),16.93,2.50,496.56,1465156.18,4.38,5.41,6.13,7.81,11.01,17.76,33.88,49.62,95.76,18.73
Time to First Output Token (ms),16.77,2.36,496.56,1451895.15,4.29,5.29,6.01,7.68,10.85,17.58,33.70,49.37,95.67,18.72
Time to First Token (ms),16.77,2.36,496.56,1451895.15,4.29,5.29,6.01,7.68,10.85,17.58,33.70,49.37,95.67,18.72
Time to Second Token (ms),0.00,0.00,1.03,8.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.01
Request Count,86558.00
Request Throughput (requests/sec),1922.66


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
