Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.16,0.44,550.13,957965.61,0.76,1.17,1.66,3.04,5.98,13.05,30.86,52.70,140.51,28.06
Decode Duration (ms),0.29,0.00,94.85,19917.33,0.00,0.00,0.00,0.00,0.00,0.24,0.76,1.52,4.03,1.04
Effective Concurrency,89.64,0.00,128.00,,,,,,95.00,,115.00,118.00,123.00,24.67
Effective Decode Concurrency,0.93,0.00,11.00,,,,,,1.00,,2.00,3.00,4.00,1.01
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),73.87,10.17,714.41,4997506.05,23.32,33.11,40.03,52.00,66.19,83.26,107.02,134.70,250.79,43.39
Effective Prefill Concurrency,88.71,0.00,128.00,,,,,,94.00,,114.00,117.00,122.00,24.53
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.58,1.00,11.00,106675.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,3.00,4.00,0.79
HTTP Chunks Sent,1.00,1.00,1.00,67652.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,34.15,1134.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51
HTTP Connection Overhead (ms),0.02,0.00,55.80,1452.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74
HTTP Connection Reused (ratio),1.00,0.00,1.00,67514.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.95,11.95,11.95,808454.61,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1156701.87,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,23.72,318.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Duration (excl. conn) (ms),59.48,6.51,429.80,4023907.41,17.06,25.91,32.21,43.75,56.94,71.38,86.99,99.55,141.36,24.76
HTTP Receiving (ms),0.62,0.00,94.84,41646.99,0.00,0.00,0.00,0.00,0.00,0.47,1.80,3.06,7.11,1.74
HTTP Sending (ms),0.56,0.06,101.64,38103.69,0.07,0.11,0.12,0.16,0.19,0.26,1.04,2.07,6.57,2.08
HTTP Total Time (ms),59.50,6.51,429.80,4025359.53,17.06,25.91,32.21,43.75,56.94,71.39,87.03,99.58,141.88,24.84
HTTP Waiting (TTFB) (ms),58.30,5.69,357.60,3944156.73,16.23,25.04,31.34,42.73,55.81,70.19,85.65,97.83,138.26,24.39
Inter Chunk Latency (ms),0.01,0.00,94.85,19917.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),59.39,6.64,429.87,4017753.33,17.10,25.97,32.24,43.64,56.83,71.25,86.84,99.53,141.39,24.81
Time to First Output Token (ms),59.09,5.98,429.87,3997836.01,16.75,25.66,31.95,43.33,56.52,70.96,86.59,99.13,141.11,24.81
Time to First Token (ms),59.09,5.98,429.87,3997836.01,16.75,25.66,31.95,43.33,56.52,70.96,86.59,99.13,141.11,24.81
Time to Second Token (ms),0.00,0.00,8.63,124.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,67652.00
Request Throughput (requests/sec),1501.20


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
