Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),17.16,0.42,328.94,556991.09,0.71,1.13,1.68,3.32,7.11,16.66,42.24,73.03,153.66,29.05
Decode Duration (ms),0.08,0.00,82.11,2457.91,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.29,1.27,0.69
Effective Concurrency,109.26,0.00,128.00,,,,,,112.00,,124.00,125.00,127.00,13.13
Effective Decode Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.34
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),169.26,8.07,584.27,5492715.11,34.72,55.16,91.11,133.56,166.05,202.06,246.61,278.94,368.51,64.91
Effective Prefill Concurrency,109.15,0.00,128.00,,,,,,111.00,,123.00,125.00,127.00,13.12
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.18,1.00,5.00,38280.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,32451.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,28.09,935.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60
HTTP Connection Overhead (ms),0.04,0.00,52.76,1146.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85
HTTP Connection Reused (ratio),1.00,0.00,1.00,32313.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,387795.79,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,21208.29,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,24.66,210.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30
HTTP Duration (excl. conn) (ms),151.82,4.43,451.32,4926565.01,30.98,50.32,81.21,122.57,152.41,183.20,216.70,239.01,288.99,53.60
HTTP Receiving (ms),0.16,0.00,82.09,5207.91,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.34,2.44,1.41
HTTP Sending (ms),0.72,0.06,65.52,23478.40,0.08,0.11,0.14,0.18,0.21,0.26,1.26,2.91,10.79,2.46
HTTP Total Time (ms),151.85,4.43,451.32,4927711.45,31.04,50.43,81.57,122.58,152.41,183.20,216.70,239.01,288.99,53.55
HTTP Waiting (TTFB) (ms),150.93,4.11,429.08,4897878.71,30.51,49.58,80.37,121.76,151.55,182.32,215.71,238.15,287.63,53.44
Inter Chunk Latency (ms),0.00,0.00,82.11,2457.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Request Latency (ms),152.01,4.48,429.74,4932979.91,31.30,50.42,81.35,122.74,152.62,183.47,216.95,239.29,289.14,53.65
Time to First Output Token (ms),151.94,4.33,429.42,4930522.00,31.15,50.35,81.22,122.67,152.53,183.37,216.89,239.20,289.14,53.65
Time to First Token (ms),151.94,4.33,429.42,4930522.00,31.15,50.35,81.22,122.67,152.53,183.37,216.89,239.20,289.14,53.65
Time to Second Token (ms),0.00,0.00,1.37,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.17
Request Count,32451.00
Request Throughput (requests/sec),718.38


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
