Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),22.06,0.51,1281.83,728972.72,0.86,1.42,2.13,4.09,8.58,19.73,47.40,79.40,248.18,51.42
Decode Duration (ms),0.16,0.00,104.39,5387.64,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.52,2.86,1.01
Effective Concurrency,102.81,0.00,128.00,,,,,,106.00,,120.00,123.00,126.00,17.38
Effective Decode Concurrency,0.17,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.41
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),162.41,11.31,1691.60,5366724.59,38.34,71.45,93.22,120.01,150.45,188.37,234.22,269.68,482.32,83.69
Effective Prefill Concurrency,102.64,0.00,128.00,,,,,,106.00,,120.00,122.00,126.00,17.36
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.27,1.00,5.00,42117.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,0.50
HTTP Chunks Sent,1.00,1.00,1.00,33045.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.07,0.00,144.35,2338.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.89
HTTP Connection Overhead (ms),0.09,0.00,214.95,2927.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56
HTTP Connection Reused (ratio),1.00,0.00,1.00,32907.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,394894.20,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,21597.60,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.02,0.00,71.48,588.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82
HTTP Duration (excl. conn) (ms),140.03,4.02,1103.22,4627169.70,30.66,58.51,82.44,108.31,135.71,167.28,202.44,227.79,284.97,53.79
HTTP Receiving (ms),0.23,0.00,104.38,7608.76,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.74,3.96,1.42
HTTP Sending (ms),0.85,0.06,611.18,28083.05,0.08,0.12,0.14,0.18,0.22,0.28,1.45,3.12,11.28,4.97
HTTP Total Time (ms),140.11,4.02,1103.22,4630097.64,30.66,58.51,82.46,108.32,135.76,167.34,202.60,228.13,286.16,53.95
HTTP Waiting (TTFB) (ms),138.95,3.77,1103.05,4591477.90,30.17,57.90,81.55,107.42,134.73,166.09,201.22,226.27,282.28,53.32
Inter Chunk Latency (ms),0.00,0.00,104.39,5387.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),140.28,4.12,1103.37,4635536.54,30.82,58.60,82.64,108.48,135.93,167.59,202.77,228.03,286.37,53.91
Time to First Output Token (ms),140.12,4.12,1103.37,4630148.90,30.73,58.48,82.46,108.37,135.73,167.37,202.65,227.83,286.30,53.90
Time to First Token (ms),140.12,4.12,1103.37,4630148.90,30.73,58.48,82.46,108.37,135.73,167.37,202.65,227.83,286.30,53.90
Time to Second Token (ms),0.00,0.00,4.07,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,33045.00
Request Throughput (requests/sec),732.53


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
