Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),30.42,0.47,1238.39,1241040.84,0.93,1.87,2.83,5.67,12.26,28.17,64.65,108.78,329.34,65.87
Decode Duration (ms),0.03,0.00,39.39,1096.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.39
Effective Concurrency,73.25,0.00,128.00,,,,,,79.00,,101.00,106.00,115.00,25.36
Effective Decode Concurrency,0.06,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.24
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),111.54,15.56,1742.69,4551010.04,33.53,44.66,51.98,67.65,90.05,120.99,168.82,232.77,558.77,100.33
Effective Prefill Concurrency,73.19,0.00,128.00,,,,,,79.00,,100.00,106.00,115.00,25.34
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.07,1.00,4.00,43612.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.26
HTTP Chunks Sent,1.00,1.00,1.00,40802.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,44.45,1548.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79
HTTP Connection Overhead (ms),0.04,0.00,69.89,1795.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
HTTP Connection Reused (ratio),1.00,0.00,1.00,40664.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,487591.87,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,26665.57,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,25.43,246.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27
HTTP Duration (excl. conn) (ms),80.70,10.23,962.07,3292834.23,26.49,35.59,41.64,54.44,72.33,95.19,122.70,145.54,256.28,45.47
HTTP Receiving (ms),0.06,0.00,73.07,2619.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.08,0.77
HTTP Sending (ms),1.01,0.06,206.46,41249.22,0.07,0.11,0.13,0.17,0.21,0.28,1.65,3.89,15.81,4.69
HTTP Total Time (ms),80.75,10.23,962.07,3294629.44,26.51,35.65,41.72,54.51,72.38,95.23,122.73,145.58,256.28,45.47
HTTP Waiting (TTFB) (ms),79.63,9.74,961.92,3248965.94,25.96,34.98,41.02,53.74,71.54,94.25,121.29,143.77,249.51,44.39
Inter Chunk Latency (ms),0.00,0.00,39.39,1096.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Request Latency (ms),81.09,10.34,962.16,3308439.39,26.59,35.74,41.83,54.67,72.59,95.55,123.18,146.38,258.87,46.21
Time to First Output Token (ms),81.06,10.06,962.16,3307343.12,26.58,35.70,41.82,54.61,72.57,95.52,123.17,146.38,258.87,46.21
Time to First Token (ms),81.06,10.06,962.16,3307343.12,26.58,35.70,41.82,54.61,72.57,95.52,123.17,146.38,258.87,46.21
Time to Second Token (ms),0.00,0.00,1.44,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.13
Request Count,40802.00
Request Throughput (requests/sec),902.91


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
