Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),14.63,0.43,430.54,474487.43,0.77,1.16,1.69,3.17,6.57,14.41,33.85,56.28,129.76,25.44
Decode Duration (ms),0.09,0.00,48.86,2781.28,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.29,1.67,0.65
Effective Concurrency,112.12,0.00,128.00,,,,,,114.00,,125.00,126.00,128.00,12.27
Effective Decode Concurrency,0.14,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),170.90,12.93,734.46,5540936.77,65.50,94.14,110.20,134.95,164.09,199.21,238.92,266.58,338.91,55.49
Effective Prefill Concurrency,111.98,0.00,128.00,,,,,,114.00,,125.00,126.00,128.00,12.27
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.20,1.00,4.00,38864.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.42
HTTP Chunks Sent,1.00,1.00,1.00,32422.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.06,0.00,107.53,2105.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.44
HTTP Connection Overhead (ms),0.08,0.00,113.04,2582.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96
HTTP Connection Reused (ratio),1.00,0.00,1.00,32284.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,387449.23,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,21189.48,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.01,0.00,52.20,476.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65
HTTP Duration (excl. conn) (ms),156.00,7.70,436.18,5057811.42,54.90,83.55,99.83,124.93,152.35,183.64,217.50,239.15,286.16,47.15
HTTP Receiving (ms),0.19,0.00,57.06,6095.28,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.38,3.14,1.50
HTTP Sending (ms),0.69,0.05,113.96,22251.24,0.07,0.11,0.13,0.16,0.19,0.25,1.27,2.70,9.87,2.41
HTTP Total Time (ms),156.08,7.70,436.18,5060393.76,55.24,83.76,100.01,124.97,152.39,183.70,217.56,239.35,286.23,47.12
HTTP Waiting (TTFB) (ms),155.13,7.57,434.64,5029464.91,53.57,82.64,98.84,124.19,151.54,182.80,216.66,238.43,284.78,47.16
Inter Chunk Latency (ms),0.00,0.00,48.86,2781.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
Request Latency (ms),156.16,7.78,436.28,5063087.72,55.07,83.63,99.96,125.10,152.51,183.91,217.66,239.59,286.44,47.18
Time to First Output Token (ms),156.08,7.78,434.97,5060306.45,54.99,83.51,99.80,125.01,152.38,183.80,217.58,239.54,286.30,47.18
Time to First Token (ms),156.08,7.78,434.97,5060306.45,54.99,83.51,99.80,125.01,152.38,183.80,217.58,239.54,286.30,47.18
Time to Second Token (ms),0.00,0.00,1.72,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.18
Request Count,32422.00
Request Throughput (requests/sec),717.48


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
