Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),16.68,0.49,442.43,495959.27,0.84,1.26,1.86,3.62,7.47,16.39,39.92,66.07,143.57,28.19
Decode Duration (ms),0.09,0.00,47.53,2699.13,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.32,1.62,0.59
Effective Concurrency,110.36,0.00,128.00,,,,,,114.00,,124.00,126.00,128.00,17.07
Effective Decode Concurrency,0.12,0.00,5.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),184.07,9.37,779.47,5473553.92,37.68,103.74,121.33,147.83,177.33,213.87,255.92,285.67,366.21,60.09
Effective Prefill Concurrency,110.23,0.00,128.00,,,,,,114.00,,124.00,126.00,128.00,17.06
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.20,1.00,5.00,35690.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.42
HTTP Chunks Sent,1.00,1.00,1.00,29736.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.08,0.00,89.00,2372.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76
HTTP Connection Overhead (ms),0.10,0.00,141.34,2934.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.44
HTTP Connection Reused (ratio),1.00,0.00,1.00,29598.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,355351.01,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,19437.71,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.02,0.00,67.06,562.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
HTTP Duration (excl. conn) (ms),167.09,7.07,453.99,4968584.28,22.88,92.10,110.62,136.74,164.11,196.05,230.20,253.56,300.02,50.35
HTTP Receiving (ms),0.19,0.00,84.59,5602.31,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.38,3.02,1.52
HTTP Sending (ms),0.79,0.06,94.48,23458.61,0.08,0.13,0.15,0.18,0.22,0.27,1.43,3.24,11.21,2.89
HTTP Total Time (ms),167.19,7.07,453.99,4971519.06,23.11,92.20,110.65,136.82,164.18,196.13,230.25,253.90,300.26,50.37
HTTP Waiting (TTFB) (ms),166.11,6.91,453.79,4939523.36,22.25,90.89,109.43,135.88,163.28,194.85,229.09,252.71,298.02,50.32
Inter Chunk Latency (ms),0.00,0.00,47.53,2699.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
Request Latency (ms),167.29,7.14,454.11,4974671.96,23.07,92.31,110.74,136.91,164.30,196.24,230.43,254.00,300.12,50.39
Time to First Output Token (ms),167.20,7.14,454.11,4971972.82,22.98,92.24,110.69,136.81,164.17,196.13,230.29,253.93,300.12,50.39
Time to First Token (ms),167.20,7.14,454.11,4971972.82,22.98,92.24,110.69,136.81,164.17,196.13,230.29,253.93,300.12,50.39
Time to Second Token (ms),0.00,0.00,0.32,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,29736.00
Request Throughput (requests/sec),659.26


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
