Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),23.09,0.55,710.46,737789.33,0.94,1.68,2.50,4.86,10.34,22.85,55.67,94.80,188.91,38.51
Decode Duration (ms),0.07,0.00,84.57,2262.44,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.28,1.33,0.71
Effective Concurrency,89.85,0.00,128.00,,,,,,99.00,,119.00,122.00,126.00,28.86
Effective Decode Concurrency,0.11,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.33
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),149.91,7.13,1031.03,4790436.36,18.71,60.69,82.21,109.91,141.07,179.22,226.93,265.34,366.63,67.68
Effective Prefill Concurrency,89.74,0.00,128.00,,,,,,99.00,,119.00,122.00,126.00,28.83
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.15,1.00,4.00,36859.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.37
HTTP Chunks Sent,1.00,1.00,1.00,31956.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.29,0.00,288.45,9113.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.73
HTTP Connection Overhead (ms),0.32,0.00,448.50,10367.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.04
HTTP Connection Reused (ratio),1.00,0.00,1.00,31818.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,381880.44,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,20886.35,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.04,0.00,160.05,1254.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79
HTTP Duration (excl. conn) (ms),126.44,3.76,577.17,4040647.26,10.47,48.73,69.08,95.08,124.35,155.30,188.61,211.75,260.57,49.98
HTTP Receiving (ms),0.15,0.00,86.87,4786.68,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.34,2.46,1.41
HTTP Sending (ms),1.14,0.06,296.87,36428.75,0.08,0.12,0.14,0.18,0.22,0.28,1.59,3.79,15.32,6.75
HTTP Total Time (ms),126.77,3.76,815.32,4051015.19,10.47,48.94,69.13,95.14,124.41,155.39,188.92,212.32,263.40,51.16
HTTP Waiting (TTFB) (ms),125.15,3.56,543.48,3999431.83,10.08,47.56,68.07,94.04,123.12,153.89,186.75,209.42,257.11,49.48
Inter Chunk Latency (ms),0.00,0.00,84.57,2262.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Request Latency (ms),126.74,3.88,592.77,4050129.67,10.65,48.90,69.24,95.32,124.64,155.59,188.84,212.21,261.01,50.09
Time to First Output Token (ms),126.67,3.88,592.77,4047867.24,10.49,48.83,69.17,95.28,124.57,155.53,188.68,212.12,261.01,50.10
Time to First Token (ms),126.67,3.88,592.77,4047867.24,10.49,48.83,69.17,95.28,124.57,155.53,188.68,212.12,261.01,50.10
Time to Second Token (ms),0.00,0.00,0.91,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,31956.00
Request Throughput (requests/sec),708.49


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
