Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.72,0.50,464.44,619973.81,0.82,1.29,1.93,3.76,8.09,18.86,47.48,83.57,181.74,34.25
Decode Duration (ms),0.09,0.00,48.68,2741.21,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.31,1.50,0.71
Effective Concurrency,108.52,0.00,128.00,,,,,,111.00,,122.00,125.00,127.00,14.37
Effective Decode Concurrency,0.13,0.00,3.00,,,,,,0.00,,1.00,1.00,1.00,0.36
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),175.55,13.14,640.73,5518582.79,41.49,94.36,112.87,137.91,167.42,203.50,248.44,282.93,391.54,61.93
Effective Prefill Concurrency,108.39,0.00,128.00,,,,,,111.00,,122.00,125.00,127.00,14.37
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.18,1.00,4.00,37120.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,31436.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,110.86,3094.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.06
HTTP Connection Overhead (ms),0.12,0.00,177.60,3718.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77
HTTP Connection Reused (ratio),1.00,0.00,1.00,31298.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,375666.34,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,20544.69,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.02,0.00,74.43,624.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89
HTTP Duration (excl. conn) (ms),155.52,3.71,421.53,4888805.91,22.60,80.09,101.36,126.72,153.39,183.20,216.38,239.36,282.05,48.81
HTTP Receiving (ms),0.18,0.00,61.97,5663.21,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.36,2.64,1.59
HTTP Sending (ms),0.84,0.05,122.89,26250.77,0.08,0.12,0.15,0.18,0.21,0.26,1.34,3.29,13.49,3.24
HTTP Total Time (ms),155.63,3.71,473.32,4892524.80,22.60,80.35,101.41,126.76,153.49,183.27,216.60,239.45,282.70,48.90
HTTP Waiting (TTFB) (ms),154.50,3.43,421.32,4856891.93,21.56,79.11,100.43,125.67,152.56,182.13,215.30,237.78,279.68,48.71
Inter Chunk Latency (ms),0.00,0.00,48.68,2741.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Request Latency (ms),155.73,3.81,421.64,4895674.06,22.78,80.36,101.51,126.84,153.62,183.40,216.74,239.70,282.53,48.86
Time to First Output Token (ms),155.65,3.72,421.64,4892932.85,22.69,80.12,101.43,126.76,153.51,183.35,216.66,239.57,282.46,48.86
Time to First Token (ms),155.65,3.72,421.64,4892932.85,22.69,80.12,101.43,126.76,153.51,183.35,216.66,239.57,282.46,48.86
Time to Second Token (ms),0.00,0.00,1.10,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.14
Request Count,31436.00
Request Throughput (requests/sec),696.41


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
