Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.41,0.45,535.52,613621.25,0.83,1.32,1.95,3.78,8.03,18.56,46.32,78.56,179.61,34.40
Decode Duration (ms),0.08,0.00,33.82,2494.84,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.30,1.41,0.57
Effective Concurrency,109.59,0.00,128.00,,,,,,111.00,,123.00,125.00,127.00,11.64
Effective Decode Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),176.02,13.43,868.40,5564951.64,68.79,97.60,112.94,137.58,166.69,202.85,246.13,280.72,403.91,62.10
Effective Prefill Concurrency,109.47,0.00,128.00,,,,,,111.00,,123.00,125.00,127.00,11.64
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.18,1.00,4.00,37208.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,31616.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.14,0.00,132.48,4394.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.85
HTTP Connection Overhead (ms),0.16,0.00,204.11,4963.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44
HTTP Connection Reused (ratio),1.00,0.00,1.00,31478.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.07
HTTP Data Received (KB),11.95,11.95,11.95,377817.38,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,20663.48,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.02,0.00,76.12,569.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83
HTTP Duration (excl. conn) (ms),156.29,7.87,417.50,4941147.86,55.82,85.99,101.78,125.76,152.49,183.17,215.97,238.87,284.49,46.43
HTTP Receiving (ms),0.17,0.00,48.49,5305.75,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.35,2.68,1.43
HTTP Sending (ms),0.86,0.05,132.90,27198.79,0.08,0.12,0.14,0.18,0.21,0.26,1.26,3.09,12.96,3.87
HTTP Total Time (ms),156.44,7.87,427.39,4946111.55,57.22,86.17,101.99,125.88,152.62,183.33,216.14,239.08,285.02,46.44
HTTP Waiting (TTFB) (ms),155.26,7.75,403.60,4908643.32,53.58,84.87,100.69,124.93,151.60,182.30,214.92,238.01,282.91,46.45
Inter Chunk Latency (ms),0.00,0.00,33.82,2494.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08
Request Latency (ms),156.52,7.95,417.62,4948478.64,56.00,86.26,101.95,125.94,152.74,183.40,216.32,239.35,285.22,46.50
Time to First Output Token (ms),156.44,7.95,417.62,4945983.79,55.95,86.20,101.85,125.82,152.60,183.32,216.22,239.25,285.22,46.51
Time to First Token (ms),156.44,7.95,417.62,4945983.79,55.95,86.20,101.85,125.82,152.60,183.32,216.22,239.25,285.22,46.51
Time to Second Token (ms),0.00,0.00,2.15,3.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.18
Request Count,31616.00
Request Throughput (requests/sec),699.76


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
