Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),2.54,0.44,44.67,112440.23,0.62,0.73,0.81,1.07,1.89,3.16,4.96,6.46,11.15,2.33
Decode Duration (ms),0.03,0.00,7.82,1456.83,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.24,0.41,0.15
Effective Concurrency,123.94,0.00,128.00,,,,,,125.00,,128.00,128.00,128.00,5.02
Effective Decode Concurrency,0.06,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.25
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),128.86,16.68,354.14,5702553.79,62.58,80.30,90.16,107.31,127.11,148.25,169.18,182.22,214.24,31.93
Effective Prefill Concurrency,123.87,0.00,128.00,,,,,,125.00,,128.00,128.00,128.00,5.04
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.17,1.00,6.00,51943.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.38
HTTP Chunks Sent,1.00,1.00,1.00,44253.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,32.67,1048.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57
HTTP Connection Overhead (ms),0.03,0.00,58.04,1298.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81
HTTP Connection Reused (ratio),1.00,0.00,1.00,44115.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,528831.99,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,756636.42,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,25.37,250.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28
HTTP Duration (excl. conn) (ms),126.22,12.20,353.18,5585393.16,59.99,77.87,87.70,104.73,124.49,145.51,166.39,179.56,211.12,31.74
HTTP Receiving (ms),0.07,0.00,28.72,2887.07,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.27,0.74,0.50
HTTP Sending (ms),0.27,0.06,33.11,12115.85,0.11,0.13,0.14,0.16,0.19,0.22,0.29,0.54,1.96,0.67
HTTP Total Time (ms),126.24,12.20,353.18,5586691.92,59.99,77.87,87.72,104.73,124.50,145.52,166.41,179.58,211.55,31.82
HTTP Waiting (TTFB) (ms),125.88,12.04,351.25,5570390.25,59.72,77.56,87.40,104.40,124.16,145.18,166.11,179.15,210.32,31.69
Inter Chunk Latency (ms),0.00,0.00,7.82,1456.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Request Latency (ms),126.29,12.25,353.25,5588684.32,60.06,77.93,87.81,104.81,124.57,145.60,166.48,179.66,211.04,31.74
Time to First Output Token (ms),126.26,12.25,353.25,5587227.49,60.00,77.90,87.78,104.77,124.52,145.58,166.45,179.59,210.91,31.74
Time to First Token (ms),126.26,12.25,353.25,5587227.49,60.00,77.90,87.78,104.77,124.52,145.58,166.45,179.59,210.91,31.74
Time to Second Token (ms),0.00,0.00,0.78,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,44253.00
Request Throughput (requests/sec),981.11


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
