Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),12.26,0.47,290.88,903625.64,0.79,1.18,1.70,3.09,6.06,12.75,28.28,45.91,96.83,18.79
Decode Duration (ms),0.07,0.00,30.20,5371.08,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.32,1.41,0.40
Effective Concurrency,98.57,0.00,128.00,,,,,,100.00,,114.00,117.00,122.00,13.57
Effective Decode Concurrency,0.17,0.00,5.00,,,,,,0.00,,1.00,1.00,2.00,0.41
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),72.53,13.34,470.74,5346082.17,32.79,40.88,45.72,54.80,66.66,81.82,102.73,123.39,191.12,29.93
Effective Prefill Concurrency,98.40,0.00,128.00,,,,,,100.00,,113.00,117.00,122.00,13.55
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.18,1.00,4.00,87037.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,73710.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,35.54,1265.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Connection Overhead (ms),0.02,0.00,67.73,1602.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78
HTTP Connection Reused (ratio),1.00,0.00,1.00,73572.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,880848.90,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1260278.96,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,32.18,337.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
HTTP Duration (excl. conn) (ms),60.06,11.35,269.55,4427367.34,27.65,35.01,39.44,47.52,57.90,69.84,82.72,92.08,115.42,18.35
HTTP Receiving (ms),0.10,0.00,33.30,7653.55,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.38,1.86,0.53
HTTP Sending (ms),0.49,0.06,46.44,36038.79,0.07,0.11,0.12,0.16,0.19,0.25,0.85,1.87,6.04,1.40
HTTP Total Time (ms),60.09,11.35,269.55,4428970.21,27.65,35.01,39.44,47.52,57.90,69.84,82.73,92.08,115.83,18.47
HTTP Waiting (TTFB) (ms),59.47,11.25,269.31,4383675.00,27.07,34.54,38.96,47.02,57.38,69.24,82.06,91.23,113.91,18.14
Inter Chunk Latency (ms),0.00,0.00,30.20,5371.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Request Latency (ms),60.24,11.41,269.65,4440192.33,27.71,35.13,39.58,47.66,58.05,70.01,82.96,92.39,116.05,18.43
Time to First Output Token (ms),60.17,11.41,269.65,4434821.25,27.59,35.02,39.49,47.59,57.98,69.93,82.88,92.36,116.05,18.44
Time to First Token (ms),60.17,11.41,269.65,4434821.25,27.59,35.02,39.49,47.59,57.98,69.93,82.88,92.36,116.05,18.44
Time to Second Token (ms),0.00,0.00,1.97,13.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.06
Request Count,73710.00
Request Throughput (requests/sec),1635.42


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
