Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),2.59,0.42,66.05,113063.03,0.61,0.72,0.81,1.09,1.90,3.16,4.99,6.68,12.39,2.52
Decode Duration (ms),0.04,0.00,10.98,1777.54,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.25,0.48,0.18
Effective Concurrency,123.94,0.00,128.00,,,,,,125.00,,128.00,128.00,128.00,4.79
Effective Decode Concurrency,0.08,0.00,4.00,,,,,,0.00,,0.00,1.00,1.00,0.28
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),130.66,23.11,310.01,5699254.97,65.10,82.34,92.37,109.22,129.39,150.64,170.69,183.32,207.28,30.75
Effective Prefill Concurrency,123.87,0.00,128.00,,,,,,125.00,,127.00,128.00,128.00,4.81
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.20,1.00,4.00,52144.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,43620.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,36.15,1173.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64
HTTP Connection Overhead (ms),0.03,0.00,61.28,1476.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94
HTTP Connection Reused (ratio),1.00,0.00,1.00,43482.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),11.95,11.95,11.95,521267.52,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,745801.06,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.01,0.00,26.11,303.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),127.95,15.88,308.31,5581205.60,62.62,79.69,89.82,106.69,126.67,147.79,167.89,180.67,204.44,30.64
HTTP Receiving (ms),0.08,0.00,40.03,3556.55,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.28,0.94,0.66
HTTP Sending (ms),0.29,0.06,36.58,12473.59,0.11,0.13,0.14,0.16,0.19,0.22,0.31,0.68,2.05,0.74
HTTP Total Time (ms),127.98,17.98,308.31,5582682.25,62.69,79.71,89.86,106.72,126.68,147.80,167.92,180.68,204.59,30.65
HTTP Waiting (TTFB) (ms),127.58,12.97,308.13,5565175.46,62.28,79.33,89.42,106.35,126.28,147.42,167.51,180.24,204.03,30.64
Inter Chunk Latency (ms),0.00,0.00,10.98,1777.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
Request Latency (ms),128.02,15.95,308.39,5584421.84,62.74,79.78,89.88,106.78,126.75,147.87,167.97,180.74,204.55,30.64
Time to First Output Token (ms),127.98,15.51,308.39,5582644.30,62.73,79.75,89.85,106.72,126.69,147.82,167.91,180.64,204.50,30.64
Time to First Token (ms),127.98,15.51,308.39,5582644.30,62.73,79.75,89.85,106.72,126.69,147.82,167.91,180.64,204.50,30.64
Time to Second Token (ms),0.00,0.00,1.20,7.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.07
Request Count,43620.00
Request Throughput (requests/sec),967.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
