Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),13.08,0.47,249.05,975406.35,0.79,1.19,1.72,3.17,6.21,13.19,30.36,50.11,113.33,20.60
Decode Duration (ms),0.08,0.00,32.56,6054.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.34,1.59,0.45
Effective Concurrency,97.19,0.00,128.00,,,,,,99.00,,112.00,115.00,120.00,12.93
Effective Decode Concurrency,0.19,0.00,5.00,,,,,,0.00,,1.00,1.00,2.00,0.43
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),71.84,11.46,400.39,5355797.95,29.58,38.14,43.13,52.43,64.95,81.33,103.74,127.98,216.29,33.05
Effective Prefill Concurrency,97.01,0.00,128.00,,,,,,99.00,,112.00,115.00,120.00,12.92
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.18,1.00,4.00,88261.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.40
HTTP Chunks Sent,1.00,1.00,1.00,74556.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,47.42,829.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40
HTTP Connection Overhead (ms),0.01,0.00,86.67,1096.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62
HTTP Connection Reused (ratio),1.00,0.00,1.00,74418.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,890958.76,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1274768.37,15.60,16.04,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,39.25,266.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
HTTP Duration (excl. conn) (ms),58.54,8.31,250.50,4364608.61,23.84,31.74,36.40,44.99,55.95,68.79,82.92,93.39,123.43,20.08
HTTP Receiving (ms),0.11,0.00,33.86,8351.80,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.41,2.02,0.58
HTTP Sending (ms),0.50,0.06,53.29,37247.85,0.08,0.11,0.13,0.16,0.20,0.25,0.87,1.85,5.97,1.51
HTTP Total Time (ms),58.56,8.31,288.27,4365704.63,23.84,31.74,36.40,44.99,55.95,68.79,82.93,93.40,123.73,20.15
HTTP Waiting (TTFB) (ms),57.93,8.09,250.35,4319008.96,23.41,31.24,35.90,44.45,55.41,68.16,82.27,92.54,121.03,19.86
Inter Chunk Latency (ms),0.00,0.00,32.56,6054.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Request Latency (ms),58.72,8.40,250.57,4378074.50,23.95,31.85,36.52,45.13,56.12,68.98,83.12,93.64,124.28,20.15
Time to First Output Token (ms),58.64,8.40,250.57,4372020.50,23.89,31.78,36.42,45.04,56.03,68.90,83.05,93.58,124.22,20.16
Time to First Token (ms),58.64,8.40,250.57,4372020.50,23.89,31.78,36.42,45.04,56.03,68.90,83.05,93.58,124.22,20.16
Time to Second Token (ms),0.00,0.00,1.48,7.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.07
Request Count,74556.00
Request Throughput (requests/sec),1654.25


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
