Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),375091.04,0.00,3162816.28,,,,,,307343.05,,780753.32,971897.09,1391906.96,306534.06
Active Decode Throughput Per User (tokens/sec/user),254634.84,0.00,2983280.67,,,,,,235804.46,,479632.10,576259.24,777489.11,175194.64
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),101143.61,0.00,2554755.19,,,,,,0.00,,382446.89,574153.83,968326.75,215698.03
Credit-to-Start Latency (ms),3.04,0.81,47.86,68981.47,1.07,1.25,1.41,1.94,2.56,3.60,4.92,6.12,9.96,2.11
Decode Duration (ms),0.56,0.00,34.90,12734.90,0.00,0.00,0.00,0.00,0.00,0.86,1.83,2.54,4.55,1.07
E2E Output Token Throughput (tokens/sec/user),9522.53,15.22,121197.97,215961510.29,70.17,114.88,163.49,409.01,2112.13,15614.93,28760.04,37466.89,57389.72,13522.57
Effective Concurrency,9.99,0.00,51.00,,,,,,9.00,,22.00,26.00,33.00,8.97
Effective Decode Concurrency,0.30,0.00,7.00,,,,,,0.00,,1.00,2.00,3.00,0.69
Effective Decode Throughput (tokens/sec),76153.82,0.00,3162816.28,,,,,,0.00,,313051.22,526125.18,975903.54,204553.60
Effective Decode Throughput Per User (tokens/sec/user),51697.35,0.00,2983280.67,,,,,,0.00,,238746.86,352025.91,578091.51,129316.76
Effective Latency (CO-aware) (ms),22.88,6.38,210.14,518829.36,8.63,10.51,11.83,14.74,20.01,28.36,37.56,44.55,58.60,11.23
Effective Prefill Concurrency,9.69,0.00,51.00,,,,,,9.00,,22.00,25.00,33.00,8.97
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),76827.96,0.00,2554755.19,,,,,,0.00,,315020.16,498355.43,903038.45,192895.47
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,2.24,1.00,49.00,50788.00,1.00,1.00,1.00,1.00,1.00,3.00,4.00,6.00,12.00,2.48
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,26.21,356.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
HTTP Connection Overhead (ms),0.02,0.00,46.28,516.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70
