Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.17,0.37,449.91,1658396.74,0.74,1.47,2.21,4.35,9.01,19.07,41.43,68.26,148.46,28.63
Decode Duration (ms),0.08,0.00,81.32,7646.60,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.33,1.59,0.62
Effective Concurrency,49.64,0.00,118.00,,,,,,55.00,,78.00,85.00,96.00,25.05
Effective Decode Concurrency,0.20,0.00,6.00,,,,,,0.00,,1.00,1.00,2.00,0.46
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),42.71,4.94,694.14,3897641.23,10.22,13.69,16.12,21.37,29.98,45.32,78.59,119.33,241.56,43.45
Effective Prefill Concurrency,49.44,0.00,118.00,,,,,,55.00,,78.00,84.00,95.00,24.96
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.16,1.00,4.00,105710.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.38
HTTP Chunks Sent,1.00,1.00,1.00,91258.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,49.20,1284.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
HTTP Connection Overhead (ms),0.02,0.00,70.99,1543.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66
HTTP Connection Reused (ratio),1.00,0.00,1.00,91120.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1090550.92,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,59645.52,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,23.18,258.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
HTTP Duration (excl. conn) (ms),24.31,3.75,394.44,2218368.79,6.92,9.27,10.90,14.38,19.66,27.61,40.81,54.68,101.08,18.39
HTTP Receiving (ms),0.10,0.00,81.32,9233.28,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.39,1.90,0.67
HTTP Sending (ms),0.54,0.05,93.44,49610.41,0.07,0.08,0.10,0.13,0.16,0.23,0.81,1.95,8.02,2.20
HTTP Total Time (ms),24.33,3.75,394.44,2219912.00,6.92,9.27,10.90,14.38,19.66,27.61,40.84,54.78,101.49,18.44
HTTP Waiting (TTFB) (ms),23.66,3.66,375.05,2159525.10,6.56,8.89,10.53,13.97,19.18,27.01,39.87,53.20,97.36,17.87
Inter Chunk Latency (ms),0.00,0.00,81.32,7646.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09
Request Latency (ms),24.52,3.80,394.55,2237670.78,6.97,9.34,10.99,14.49,19.81,27.80,41.15,55.34,102.74,18.59
Time to First Output Token (ms),24.44,3.80,394.55,2230024.19,6.87,9.25,10.89,14.41,19.71,27.73,41.13,55.27,102.67,18.60
Time to First Token (ms),24.44,3.80,394.55,2230024.19,6.87,9.25,10.89,14.41,19.71,27.73,41.13,55.27,102.67,18.60
Time to Second Token (ms),0.00,0.00,0.90,6.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.11
Request Count,91258.00
Request Throughput (requests/sec),2023.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
