Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.75,0.34,496.79,1315048.48,0.79,1.44,2.15,4.26,9.30,22.31,48.23,71.66,148.84,30.23
Decode Duration (ms),0.43,0.00,76.42,28860.77,0.00,0.00,0.00,0.00,0.00,0.27,1.05,1.98,6.41,1.76
Effective Concurrency,40.94,0.00,128.00,,,,,,44.00,,76.00,82.00,93.00,27.10
Effective Decode Concurrency,0.64,0.00,12.00,,,,,,0.00,,2.00,3.00,5.00,1.06
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),47.46,5.78,743.83,3159278.78,11.00,14.97,17.54,23.14,32.85,52.40,91.61,127.60,244.62,47.05
Effective Prefill Concurrency,40.30,0.00,128.00,,,,,,43.00,,74.00,80.00,92.00,26.71
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.38,1.00,4.00,91860.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,3.00,0.59
HTTP Chunks Sent,1.00,1.00,1.00,66571.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,32.39,749.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Connection Overhead (ms),0.01,0.00,32.39,868.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Connection Reused (ratio),1.00,0.00,1.00,66433.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),11.66,11.66,11.66,776033.23,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1138252.68,15.60,16.04,16.30,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,8.10,119.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
HTTP Duration (excl. conn) (ms),27.41,4.15,387.15,1825006.18,7.74,10.65,12.58,16.39,22.10,31.13,46.73,61.52,110.28,20.29
HTTP Receiving (ms),0.44,0.00,76.41,29171.19,0.00,0.00,0.00,0.00,0.00,0.28,1.06,2.00,6.44,1.76
HTTP Sending (ms),0.64,0.05,78.10,42379.64,0.07,0.09,0.11,0.14,0.19,0.26,1.09,2.68,9.42,2.04
HTTP Total Time (ms),27.43,4.15,387.15,1825874.90,7.74,10.65,12.58,16.39,22.10,31.13,46.80,61.70,110.29,20.31
HTTP Waiting (TTFB) (ms),26.34,3.94,386.91,1753455.36,7.33,10.12,11.92,15.61,21.19,29.90,45.00,59.37,106.02,19.75
Inter Chunk Latency (ms),0.01,0.00,76.42,28860.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26
Request Latency (ms),27.70,4.19,387.26,1844052.61,7.83,10.77,12.72,16.56,22.30,31.45,47.15,62.24,111.78,20.53
Time to First Output Token (ms),27.27,4.14,387.26,1815191.85,7.64,10.52,12.39,16.16,21.84,30.89,46.76,61.79,111.60,20.53
Time to First Token (ms),27.27,4.14,387.26,1815191.85,7.64,10.52,12.39,16.16,21.84,30.89,46.76,61.79,111.60,20.53
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.04
Request Count,66571.00
Request Throughput (requests/sec),1477.89


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
