Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),16.50,0.43,524.19,1134632.81,0.86,1.52,2.26,4.38,9.08,19.47,39.16,58.01,104.91,21.69
Decode Duration (ms),0.64,0.00,56.76,44365.58,0.00,0.00,0.00,0.00,0.00,0.31,1.69,3.52,9.97,2.16
Effective Concurrency,84.15,0.00,128.00,,,,,,89.00,,111.00,116.00,125.00,24.73
Effective Decode Concurrency,1.01,0.00,30.00,,,,,,0.00,,3.00,4.00,8.00,1.70
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),71.59,4.55,681.70,4924473.10,11.49,24.24,38.12,52.41,66.52,83.43,108.95,132.10,200.44,35.46
Effective Prefill Concurrency,83.13,0.00,128.00,,,,,,87.00,,110.00,115.00,125.00,24.61
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.34,1.00,4.00,92470.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,3.00,0.53
HTTP Chunks Sent,1.00,1.00,1.00,68785.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.03,0.00,88.88,2404.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.13
HTTP Connection Overhead (ms),0.04,0.00,130.01,2827.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43
HTTP Connection Reused (ratio),1.00,0.00,1.00,68647.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,801842.33,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1176083.67,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.01,0.00,45.50,423.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39
HTTP Duration (excl. conn) (ms),54.86,3.90,421.65,3773316.49,7.32,14.60,27.50,42.02,54.46,67.02,79.90,90.58,120.33,22.92
HTTP Receiving (ms),0.66,0.00,91.82,45547.80,0.00,0.00,0.00,0.00,0.00,0.32,1.73,3.61,10.16,2.23
HTTP Sending (ms),0.57,0.05,90.92,38870.07,0.07,0.09,0.11,0.14,0.19,0.26,1.09,2.26,7.00,1.87
HTTP Total Time (ms),54.90,3.90,421.65,3776143.97,7.32,14.60,27.50,42.02,54.47,67.03,79.94,90.64,120.60,23.05
HTTP Waiting (TTFB) (ms),53.63,3.51,408.74,3688898.62,7.06,14.06,26.62,40.89,53.26,65.73,78.28,88.81,117.63,22.49
Inter Chunk Latency (ms),0.01,0.00,56.76,44365.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
Request Latency (ms),55.08,3.94,421.76,3788547.15,7.38,14.74,27.71,42.20,54.66,67.25,80.17,90.89,120.81,22.97
Time to First Output Token (ms),54.43,3.66,421.76,3744181.57,7.28,14.53,27.32,41.58,53.99,66.52,79.31,90.03,120.01,22.82
Time to First Token (ms),54.43,3.66,421.76,3744181.57,7.28,14.53,27.32,41.58,53.99,66.52,79.31,90.03,120.01,22.82
Time to Second Token (ms),0.00,0.00,11.14,30.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,68785.00
Request Throughput (requests/sec),1527.28


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
