Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),20.81,0.44,596.84,1847547.03,0.83,1.62,2.43,4.83,9.91,21.17,47.26,77.46,177.02,34.75
Decode Duration (ms),0.03,0.00,35.44,2311.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.35
Effective Concurrency,51.42,0.00,128.00,,,,,,56.00,,75.00,80.00,90.00,21.39
Effective Decode Concurrency,0.13,0.00,4.00,,,,,,0.00,,1.00,1.00,2.00,0.37
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),46.95,6.30,895.44,4169042.27,12.35,15.49,17.71,22.62,31.09,48.22,87.47,134.99,282.59,52.16
Effective Prefill Concurrency,51.30,0.00,128.00,,,,,,56.00,,75.00,80.00,90.00,21.34
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,4.00,93822.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,88801.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,71.06,1361.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58
HTTP Connection Overhead (ms),0.02,0.00,76.99,1718.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80
HTTP Connection Reused (ratio),1.00,0.00,1.00,88663.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1061189.29,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1518296.40,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.56,0.64
HTTP DNS Lookup (ms),0.00,0.00,34.29,357.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29
HTTP Duration (excl. conn) (ms),25.87,4.89,507.67,2297645.81,8.79,10.92,12.33,15.27,20.05,28.00,42.66,60.36,121.96,21.45
HTTP Receiving (ms),0.06,0.00,63.05,5723.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,1.57,0.67
HTTP Sending (ms),0.63,0.06,124.34,56104.16,0.07,0.09,0.11,0.14,0.18,0.26,1.02,2.34,9.52,2.44
HTTP Total Time (ms),25.89,4.89,507.67,2299364.37,8.79,10.92,12.33,15.27,20.05,28.00,42.67,60.36,122.92,21.56
HTTP Waiting (TTFB) (ms),25.18,4.57,507.37,2235818.23,8.47,10.58,11.99,14.88,19.59,27.36,41.44,58.46,117.52,20.79
Inter Chunk Latency (ms),0.00,0.00,35.44,2311.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),26.10,4.95,529.59,2318054.64,8.87,11.01,12.42,15.39,20.18,28.22,43.05,61.09,123.51,21.74
Time to First Output Token (ms),26.08,4.74,529.59,2315743.13,8.81,10.96,12.38,15.36,20.16,28.21,43.04,61.09,123.51,21.75
Time to First Token (ms),26.08,4.74,529.59,2315743.13,8.81,10.96,12.38,15.36,20.16,28.21,43.04,61.09,123.51,21.75
Time to Second Token (ms),0.00,0.00,2.06,4.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.10
Request Count,88801.00
Request Throughput (requests/sec),1967.09


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
