Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),18.64,0.36,494.40,1664004.11,0.75,1.40,2.12,4.21,8.80,19.41,44.00,70.64,154.62,29.58
Decode Duration (ms),0.04,0.00,35.37,3868.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.91,0.37
Effective Concurrency,62.66,0.00,128.00,,,,,,67.00,,86.00,92.00,101.00,22.24
Effective Decode Concurrency,0.13,0.00,6.00,,,,,,0.00,,1.00,1.00,1.00,0.37
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),50.30,6.41,698.32,4489697.57,13.16,17.28,20.19,26.78,37.32,54.51,89.44,131.30,260.31,45.80
Effective Prefill Concurrency,62.53,0.00,128.00,,,,,,67.00,,86.00,92.00,101.00,22.21
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.10,1.00,5.00,98242.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.31
HTTP Chunks Sent,1.00,1.00,1.00,89263.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,63.38,759.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Connection Overhead (ms),0.01,0.00,63.38,969.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52
HTTP Connection Reused (ratio),1.00,0.00,1.00,89125.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1066710.28,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),17.10,14.64,19.39,1526211.82,15.60,16.03,16.29,16.67,17.08,17.53,17.94,18.17,18.59,0.64
HTTP DNS Lookup (ms),0.00,0.00,23.34,209.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),31.41,4.89,404.19,2803757.73,9.55,12.53,14.58,19.18,26.64,36.95,50.78,64.81,119.41,20.67
HTTP Receiving (ms),0.07,0.00,35.37,5928.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.39,0.48
HTTP Sending (ms),0.56,0.05,94.41,49813.04,0.07,0.09,0.11,0.14,0.18,0.24,0.85,2.06,8.27,2.02
HTTP Total Time (ms),31.42,4.89,404.19,2804726.85,9.55,12.53,14.58,19.18,26.64,36.95,50.78,64.81,119.76,20.74
HTTP Waiting (TTFB) (ms),30.79,4.71,403.98,2748016.64,9.24,12.19,14.24,18.79,26.17,36.35,49.87,63.32,116.11,20.15
Inter Chunk Latency (ms),0.00,0.00,35.37,3868.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Request Latency (ms),31.63,4.98,404.29,2823638.99,9.62,12.61,14.67,19.29,26.80,37.17,51.12,65.43,120.72,20.89
Time to First Output Token (ms),31.59,4.98,404.29,2819770.26,9.59,12.55,14.62,19.25,26.75,37.13,51.09,65.42,120.72,20.90
Time to First Token (ms),31.59,4.98,404.29,2819770.26,9.59,12.55,14.62,19.25,26.75,37.13,51.09,65.42,120.72,20.90
Time to Second Token (ms),0.00,0.00,3.18,15.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.09
Request Count,89263.00
Request Throughput (requests/sec),1979.32


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
