Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),316955.76,0.00,4012755.65,,,,,,240959.82,,707448.20,898955.95,1303647.20,288327.23
Active Decode Throughput Per User (tokens/sec/user),164669.51,0.00,2030332.08,,,,,,146163.20,,318183.62,386126.63,545587.60,122295.57
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),123211.95,0.00,2311553.34,,,,,,0.00,,413648.85,589352.09,962412.27,216446.96
Credit-to-Start Latency (ms),3.11,0.72,73.70,70420.79,0.98,1.10,1.20,1.42,2.03,3.15,4.92,6.89,32.61,4.50
Decode Duration (ms),0.96,0.00,20.75,21797.82,0.00,0.00,0.00,0.00,0.00,1.41,3.08,4.40,7.83,1.73
E2E Output Token Throughput (tokens/sec/user),10589.29,29.03,98862.84,240154487.26,114.60,172.24,210.14,464.21,2431.16,19365.24,30864.17,37711.64,53966.43,13737.35
Effective Concurrency,7.69,0.00,49.00,,,,,,4.00,,20.00,23.00,29.00,8.44
Effective Decode Concurrency,0.50,0.00,13.00,,,,,,0.00,,2.00,3.00,5.00,1.11
Effective Decode Throughput (tokens/sec),79044.53,0.00,4012755.65,,,,,,0.00,,305113.03,506791.94,955904.56,198840.62
Effective Decode Throughput Per User (tokens/sec/user),41066.11,0.00,2030332.08,,,,,,0.00,,176784.78,253483.88,407786.79,93839.03
Effective Latency (CO-aware) (ms),18.36,5.12,87.58,416406.77,8.26,10.21,11.43,13.89,16.97,21.17,26.25,30.48,45.82,7.10
Effective Prefill Concurrency,7.19,0.00,48.00,,,,,,2.00,,20.00,23.00,28.00,8.45
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),79310.59,0.00,2311553.34,,,,,,0.00,,298975.25,479428.29,861248.34,183407.66
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,3.14,1.00,57.00,71134.00,1.00,1.00,1.00,1.00,2.00,4.00,8.00,11.00,17.00,3.56
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,35.94,316.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44
HTTP Connection Overhead (ms),0.02,0.00,66.10,479.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.75
HTTP Connection Reused (ratio),1.00,0.00,1.00,22625.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.06,0.50,465.11,908455.12,0.96,0.96,0.96,0.96,6.77,78.83,115.55,136.72,197.18,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,30.16,163.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Duration (excl. conn) (ms),15.14,3.91,54.07,343316.45,6.20,7.80,8.98,11.35,14.24,17.92,22.33,25.43,33.27,5.51
HTTP Receiving (ms),0.99,0.00,36.00,22410.81,0.00,0.00,0.00,0.00,0.17,1.44,3.10,4.43,7.85,1.74
HTTP Sending (ms),0.26,0.06,36.62,5926.81,0.12,0.15,0.16,0.18,0.20,0.23,0.28,0.38,1.55,0.52
HTTP Total Time (ms),15.16,3.91,120.17,343796.24,6.20,7.80,8.98,11.35,14.24,17.93,22.35,25.46,33.59,5.63
HTTP Waiting (TTFB) (ms),13.89,3.51,43.92,314978.83,5.72,7.24,8.27,10.51,13.15,16.31,20.28,23.25,30.23,4.99
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.01,0.00,14.97,21797.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.09
Inter Token Latency (ms),0.00,0.00,0.23,76.32,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
