Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),404980.58,0.00,4573063.53,,,,,,329320.04,,832357.34,1044876.79,1536176.18,331189.62
Active Decode Throughput Per User (tokens/sec/user),276508.82,0.00,2854735.52,,,,,,255147.34,,516908.40,602103.68,767099.72,179518.29
Active Prefill Throughput (tokens/sec),5621123.72,18440.58,22698713.60,,,,,,5247965.56,,10817406.69,12298154.98,15562214.65,3798562.62
Active Prefill Throughput Per User (tokens/sec/user),484943.28,18440.58,2608753.21,,,,,,461561.47,,710080.62,822431.88,1218939.70,209884.96
Active Total Throughput (tokens/sec),5508611.44,1105.33,22698713.60,,,,,,5130082.34,,10754899.24,12264962.03,15549385.30,3842743.43
Credit-to-Start Latency (ms),3.27,0.80,47.91,74310.08,1.12,1.33,1.56,2.04,2.79,3.99,5.45,6.51,9.39,2.14
Decode Duration (ms),0.50,0.00,41.68,11236.99,0.00,0.00,0.00,0.00,0.00,0.67,1.49,2.16,4.75,1.06
E2E Output Token Throughput (tokens/sec/user),11415.75,27.86,113143.80,259103183.50,103.87,160.72,202.70,452.64,2432.66,20205.22,34016.50,42613.04,61529.26,15374.25
Effective Concurrency,7.72,0.00,68.00,,,,,,4.00,,20.00,23.00,29.00,8.52
Effective Decode Concurrency,0.26,0.00,17.00,,,,,,0.00,,1.00,2.00,3.00,0.68
Effective Decode Throughput (tokens/sec),70197.79,0.00,4573063.53,,,,,,0.00,,275711.00,511301.77,1009359.39,206187.73
Effective Decode Throughput Per User (tokens/sec/user),47928.28,0.00,2854735.52,,,,,,0.00,,221368.17,361618.83,585524.60,128613.62
Effective Latency (CO-aware) (ms),18.59,5.77,106.13,421856.65,8.51,10.19,11.30,13.83,17.40,21.82,26.85,30.43,41.50,7.10
Effective Prefill Concurrency,7.46,0.00,68.00,,,,,,4.00,,20.00,23.00,29.00,8.48
Effective Prefill Throughput (tokens/sec),3473066.97,0.00,22698713.60,,,,,,1759624.41,,9544677.61,11326758.88,14633109.97,4046664.51
Effective Prefill Throughput Per User (tokens/sec/user),299627.01,0.00,2608753.21,,,,,,322974.12,,643853.54,742880.12,1095784.34,287651.76
Effective Total Throughput (tokens/sec),3543574.38,0.00,22698713.60,,,,,,1899922.77,,9610110.93,11373339.94,14671120.42,4057382.05
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.75,1.00,13.00,39744.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.08
HTTP Chunks Sent,1.00,1.00,1.00,22697.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,18.86,294.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33
HTTP Connection Overhead (ms),0.02,0.00,30.19,434.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.53
HTTP Connection Reused (ratio),1.00,0.00,1.00,22629.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),40.05,0.50,465.12,909082.72,0.97,0.97,0.97,0.97,6.78,78.83,115.55,136.71,197.14,53.42
HTTP Data Sent (KB),29.36,3.77,127.48,666426.13,4.01,4.38,7.55,13.88,26.62,30.87,57.49,78.68,113.34,21.70
HTTP DNS Lookup (ms),0.01,0.00,11.33,139.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21
HTTP Duration (excl. conn) (ms),15.19,4.47,103.76,344839.94,6.27,7.65,8.64,10.75,13.94,18.05,23.01,26.63,36.24,6.60
HTTP Receiving (ms),0.51,0.00,41.67,11589.70,0.00,0.00,0.00,0.00,0.00,0.69,1.51,2.17,4.78,1.07
HTTP Sending (ms),0.27,0.06,19.25,6185.41,0.13,0.16,0.17,0.19,0.21,0.24,0.28,0.47,1.62,0.43
HTTP Total Time (ms),15.21,4.47,103.76,345274.12,6.27,7.65,8.64,10.75,13.94,18.05,23.02,26.63,36.56,6.72
HTTP Waiting (TTFB) (ms),14.41,4.10,79.00,327064.84,5.84,7.15,8.09,10.08,13.14,17.19,22.03,25.57,35.29,6.34
Input Sequence Length (tokens),6890.63,919.00,29826.00,156396609.00,923.00,1004.80,1746.60,3219.00,6278.00,7269.00,13506.60,18495.20,26597.04,5096.16
Inter Chunk Latency (ms),0.00,0.00,23.16,11236.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07
Inter Token Latency (ms),0.00,0.00,0.28,50.49,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.16,1.00,2000.00,3884895.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.04,229.83
Output Token Count (tokens),171.16,1.00,2000.00,3884895.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.00,847.04,229.83
Output Token Throughput Per User (tokens/sec/user),317447.19,3566.51,923376.69,3052254695.21,33496.24,82403.40,102275.87,160622.39,310690.63,438131.13,552609.73,630479.08,745966.60,174425.09
Prefill Throughput Per User (tokens/sec/user),506664.07,16045.61,2608794.93,11499754322.35,49926.78,84975.98,129011.98,261854.60,432561.98,659595.72,954616.22,1219351.25,1776176.26,357197.50
Request Latency (ms),15.30,4.56,103.88,347207.33,6.35,7.74,8.73,10.86,14.04,18.16,23.12,26.76,36.33,6.61
Time to First Output Token (ms),14.80,4.37,79.40,335970.34,6.20,7.51,8.46,10.45,13.54,17.60,22.43,25.98,35.75,6.41
