Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),392137.40,0.00,3401541.80,,,,,,299740.96,,874330.19,1112404.40,1645783.11,364224.60
Active Decode Throughput Per User (tokens/sec/user),256368.62,0.00,2489634.65,,,,,,219052.00,,533424.52,653713.25,903775.74,209817.12
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),103659.00,0.00,2675245.13,,,,,,0.00,,398793.05,620208.86,1130831.84,242284.16
Credit-to-Start Latency (ms),6.38,0.77,109.83,144594.72,1.00,1.14,1.24,1.54,2.42,4.42,24.73,28.30,62.68,10.65
Decode Duration (ms),0.51,0.00,38.54,11497.94,0.00,0.00,0.00,0.00,0.00,0.53,1.52,2.44,5.62,1.45
E2E Output Token Throughput (tokens/sec/user),11663.56,23.58,153173.60,264517860.34,96.82,168.66,212.41,462.70,2516.54,20826.56,34688.81,43759.83,63780.70,15795.96
Effective Concurrency,7.71,0.00,58.00,,,,,,4.00,,21.00,25.00,35.00,9.06
Effective Decode Concurrency,0.27,0.00,10.00,,,,,,0.00,,1.00,2.00,3.00,0.72
Effective Decode Throughput (tokens/sec),66531.05,0.00,3401541.80,,,,,,0.00,,233392.25,495712.18,1051992.09,210166.93
Effective Decode Throughput Per User (tokens/sec/user),43495.60,0.00,2489634.65,,,,,,0.00,,170823.45,337585.52,623817.77,129336.91
Effective Latency (CO-aware) (ms),21.67,5.46,150.10,491394.85,8.56,10.31,11.38,13.57,16.92,22.48,40.15,51.24,82.73,14.57
Effective Prefill Concurrency,7.44,0.00,57.00,,,,,,3.00,,20.00,24.00,34.00,8.98
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),67249.17,0.00,2675245.13,,,,,,0.00,,265444.94,478330.23,998270.11,201324.18
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.69,1.00,22.00,38408.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.26
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,11.51,236.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25
HTTP Connection Overhead (ms),0.01,0.00,19.06,335.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38
HTTP Connection Reused (ratio),1.00,0.00,1.00,22610.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.06
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.00,0.00,7.99,98.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
HTTP Duration (excl. conn) (ms),15.17,4.20,143.87,344099.69,5.88,7.32,8.34,10.43,13.44,17.39,23.17,28.69,45.36,8.12
HTTP Receiving (ms),0.53,0.00,38.54,12103.49,0.00,0.00,0.00,0.00,0.00,0.57,1.58,2.51,5.64,1.46
HTTP Sending (ms),0.27,0.06,14.93,6150.68,0.12,0.15,0.16,0.18,0.20,0.24,0.29,0.44,1.85,0.43
HTTP Total Time (ms),15.19,4.20,156.32,344434.86,5.88,7.32,8.34,10.43,13.44,17.39,23.18,28.70,45.58,8.25
HTTP Waiting (TTFB) (ms),14.37,3.88,135.79,325845.52,5.46,6.83,7.81,9.83,12.66,16.53,22.07,27.06,43.83,7.79
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,37.66,11497.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10
Inter Token Latency (ms),0.00,0.00,0.22,30.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
