Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),426727.54,0.00,5101046.89,,,,,,349672.10,,886396.42,1116306.05,1618995.18,355320.11
Active Decode Throughput Per User (tokens/sec/user),289628.32,0.00,2550523.44,,,,,,267885.47,,550590.74,648606.86,836435.66,197003.41
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),114426.18,0.00,3393080.15,,,,,,0.00,,438654.25,662349.95,1147360.29,252453.90
Credit-to-Start Latency (ms),2.75,0.75,27.23,62382.60,1.02,1.17,1.28,1.58,2.28,3.39,4.83,5.86,8.74,1.67
Decode Duration (ms),0.42,0.00,42.12,9506.65,0.00,0.00,0.00,0.00,0.00,0.53,1.40,2.08,4.16,0.95
E2E Output Token Throughput (tokens/sec/user),11497.90,23.98,145594.03,260760876.80,117.05,165.35,200.31,478.49,2456.45,20614.28,33957.48,42514.23,62803.48,15554.07
Effective Concurrency,7.65,0.00,59.00,,,,,,3.00,,21.00,24.00,30.00,8.86
Effective Decode Concurrency,0.23,0.00,7.00,,,,,,0.00,,1.00,2.00,3.00,0.61
Effective Decode Throughput (tokens/sec),66316.69,0.00,5101046.89,,,,,,0.00,,246337.67,508100.97,1029027.13,208618.38
Effective Decode Throughput Per User (tokens/sec/user),45009.85,0.00,2550523.44,,,,,,0.00,,199298.24,360164.06,613386.98,130543.42
Effective Latency (CO-aware) (ms),17.94,6.07,144.82,406797.27,8.60,10.47,11.62,13.95,17.09,20.60,24.46,27.37,38.03,6.72
Effective Prefill Concurrency,7.43,0.00,58.00,,,,,,2.00,,20.00,24.00,30.00,8.85
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),67107.37,0.00,3393080.15,,,,,,0.00,,274696.53,489585.90,983932.82,201377.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.66,1.00,50.00,37581.00,1.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,6.00,1.22
HTTP Chunks Sent,1.00,1.00,1.00,22679.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,16.79,278.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
HTTP Connection Overhead (ms),0.02,0.00,27.87,404.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51
HTTP Connection Reused (ratio),1.00,0.00,1.00,22614.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.05
HTTP Data Received (KB),41.07,0.51,476.84,931338.21,0.98,0.98,0.98,0.98,6.94,80.81,118.46,140.17,202.15,54.77
HTTP Data Sent (KB),29.36,3.77,127.48,665951.22,4.01,4.38,7.54,13.88,26.62,30.87,57.53,78.71,113.35,21.71
HTTP DNS Lookup (ms),0.01,0.00,11.30,126.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20
HTTP Duration (excl. conn) (ms),15.08,3.65,139.04,341908.01,5.77,7.23,8.42,10.92,14.31,17.94,21.81,24.72,35.39,6.76
HTTP Receiving (ms),0.45,0.00,48.45,10240.56,0.00,0.00,0.00,0.00,0.00,0.58,1.44,2.14,4.31,1.02
HTTP Sending (ms),0.25,0.06,18.49,5734.03,0.12,0.16,0.17,0.19,0.21,0.23,0.26,0.32,1.42,0.41
HTTP Total Time (ms),15.09,3.65,152.58,342312.24,5.77,7.23,8.42,10.92,14.31,17.94,21.81,24.72,35.39,6.97
HTTP Waiting (TTFB) (ms),14.37,3.47,130.83,325933.42,5.39,6.77,7.86,10.31,13.61,17.13,20.97,23.85,34.57,6.53
Input Sequence Length (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Inter Chunk Latency (ms),0.00,0.00,40.68,9506.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06
Inter Token Latency (ms),0.00,0.00,0.14,25.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Count (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Output Token Throughput Per User (tokens/sec/user),405755.48,7098.81,2106553.19,2925902732.87,64903.20,120324.63,166276.55,267310.33,380633.51,517198.07,674554.66,771091.66,978943.50,200968.78
Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Request Latency (ms),15.15,3.72,139.31,343674.49,5.85,7.29,8.51,11.00,14.40,18.01,21.89,24.78,35.44,6.75
Time to First Output Token (ms),14.73,3.72,139.31,334167.84,5.71,7.11,8.23,10.66,13.97,17.48,21.32,24.18,34.99,6.66
Time to First Token (ms),14.73,3.72,139.31,334167.84,5.71,7.11,8.23,10.66,13.97,17.48,21.32,24.18,34.99,6.66
Time to Second Token (ms),0.00,0.00,0.69,1.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
Tokens In Flight (tokens),54.30,0.00,2944.00,,,,,,0.00,,180.00,402.00,886.00,177.83
Usage Completion Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86
Usage Prompt Tokens (tokens),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Usage Total Tokens (tokens),171.20,1.00,2000.00,3882702.00,3.00,3.00,3.00,3.00,28.00,338.00,496.00,587.10,847.22,229.86

Metric,Value
Benchmark Duration (sec),44.93
Input Token Throughput (tokens/sec),0.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),86278.94
Replay Schedule Degraded,0.00
Replay Schedule Lag p50 (ms),3.09
Replay Schedule Lag p90 (ms),5.92
Replay Schedule Lag p99 (ms),10.16
Request Count,22679.00
Request Throughput (requests/sec),503.96
Total Input Sequence Length (tokens),0.00
Total Output Sequence Length (tokens),3882702.00
Total Output Tokens (tokens),3882702.00
Total Token Throughput (tokens/sec),86278.94
Total Usage Completion Tokens (tokens),3882702.00
Total Usage Prompt Tokens (tokens),0.00
Total Usage Total Tokens (tokens),3882702.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
