Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.74,0.39,681.96,2213106.40,0.68,1.27,1.95,3.79,7.66,16.51,46.09,89.07,195.60,38.32
Decode Duration (ms),0.19,0.00,65.36,21567.12,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.85,3.19,1.04
Effective Concurrency,44.27,0.00,112.00,,,,,,48.00,,63.00,67.00,76.00,17.57
Effective Decode Concurrency,0.48,0.00,11.00,,,,,,0.00,,1.00,2.00,3.00,0.78
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),37.53,4.33,1073.51,4206718.69,7.07,8.78,10.01,12.93,18.80,32.00,79.12,146.62,309.79,59.39
Effective Prefill Concurrency,43.79,0.00,112.00,,,,,,48.00,,62.00,66.00,75.00,17.40
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.24,1.00,4.00,138881.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,3.00,0.47
HTTP Chunks Sent,1.00,1.00,1.00,112095.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,116.27,4284.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51
HTTP Connection Overhead (ms),0.04,0.00,127.58,4598.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.61
HTTP Connection Reused (ratio),1.00,0.00,1.00,111957.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1306716.81,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,73259.39,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,38.88,313.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),17.55,3.53,495.21,1967102.76,5.14,6.06,6.67,8.02,10.48,15.91,32.43,56.61,125.71,23.70
HTTP Receiving (ms),0.19,0.00,65.35,21852.42,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.86,3.22,1.05
HTTP Sending (ms),0.57,0.05,123.35,64154.15,0.07,0.08,0.10,0.12,0.15,0.22,0.58,1.65,9.10,3.00
HTTP Total Time (ms),17.59,3.53,495.21,1971701.03,5.14,6.06,6.67,8.02,10.48,15.91,32.48,56.79,126.44,23.89
HTTP Waiting (TTFB) (ms),16.78,3.14,470.90,1881096.19,4.76,5.67,6.28,7.61,10.01,15.24,31.00,53.98,122.26,22.92
Inter Chunk Latency (ms),0.00,0.00,65.36,21567.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
Request Latency (ms),17.78,3.59,495.30,1993431.91,5.21,6.14,6.76,8.11,10.60,16.11,32.94,57.29,128.41,24.03
Time to First Output Token (ms),17.59,3.35,495.30,1971864.79,5.00,5.94,6.56,7.93,10.41,15.91,32.70,57.12,128.41,24.05
Time to First Token (ms),17.59,3.35,495.30,1971864.79,5.00,5.94,6.56,7.93,10.41,15.91,32.70,57.12,128.41,24.05
Time to Second Token (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.03
Request Count,112095.00
Request Throughput (requests/sec),2489.19


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
