Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),24.55,0.39,717.68,2219624.43,0.89,1.87,2.81,5.30,10.83,24.19,59.49,101.13,206.51,40.45
Decode Duration (ms),0.13,0.00,52.98,11484.48,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.51,2.67,0.84
Effective Concurrency,39.18,0.00,113.00,,,,,,44.00,,59.00,64.00,76.00,18.73
Effective Decode Concurrency,0.26,0.00,18.00,,,,,,0.00,,1.00,1.00,3.00,0.63
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),44.20,4.11,824.96,3995574.36,6.75,8.86,10.46,14.39,22.72,43.75,98.91,164.02,323.69,62.40
Effective Prefill Concurrency,38.91,0.00,113.00,,,,,,43.00,,59.00,63.00,75.00,18.59
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.13,1.00,4.00,101731.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,0.34
HTTP Chunks Sent,1.00,1.00,1.00,90395.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.02,0.00,54.98,1446.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59
HTTP Connection Overhead (ms),0.02,0.00,56.79,1677.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71
HTTP Connection Reused (ratio),1.00,0.00,1.00,90257.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.66,11.66,11.66,1053755.00,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,11.66,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,59078.50,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,20.02,231.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18
HTTP Duration (excl. conn) (ms),19.36,2.92,449.05,1750023.73,4.25,5.21,5.92,7.63,11.10,19.44,40.34,63.53,131.35,24.94
HTTP Receiving (ms),0.13,0.00,52.98,11957.89,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.54,2.78,0.86
HTTP Sending (ms),0.67,0.05,109.47,60390.11,0.07,0.08,0.10,0.12,0.17,0.24,0.89,2.38,11.58,2.67
HTTP Total Time (ms),19.38,2.92,449.05,1751701.13,4.25,5.21,5.92,7.63,11.10,19.45,40.40,63.65,131.35,24.96
HTTP Waiting (TTFB) (ms),18.56,2.60,430.51,1677675.73,3.93,4.88,5.57,7.23,10.62,18.67,38.63,60.75,127.19,24.16
Inter Chunk Latency (ms),0.00,0.00,52.98,11484.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12
Request Latency (ms),19.64,2.98,449.17,1775455.87,4.33,5.30,6.01,7.74,11.25,19.74,40.98,64.54,132.73,25.28
Time to First Output Token (ms),19.51,2.92,449.17,1763971.40,4.21,5.17,5.89,7.60,11.11,19.58,40.91,64.40,132.73,25.30
Time to First Token (ms),19.51,2.92,449.17,1763971.40,4.21,5.17,5.89,7.60,11.11,19.58,40.91,64.40,132.73,25.30
Time to Second Token (ms),0.00,0.00,5.39,15.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.32
Request Count,90395.00
Request Throughput (requests/sec),1994.05


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
