Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.78,0.32,930.13,2200165.17,0.69,1.35,2.07,4.08,8.24,17.37,41.39,74.08,227.38,40.25
Decode Duration (ms),0.03,0.00,28.59,3077.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.31
Effective Concurrency,43.66,0.00,128.00,,,,,,46.00,,63.00,68.00,79.00,17.40
Effective Decode Concurrency,0.12,0.00,4.00,,,,,,0.00,,1.00,1.00,1.00,0.35
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),37.55,4.06,1154.87,4176162.89,7.31,9.16,10.52,13.74,19.92,33.64,71.35,121.25,351.85,60.77
Effective Prefill Concurrency,43.54,0.00,128.00,,,,,,46.00,,63.00,68.00,79.00,17.35
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,4.00,117958.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.24
HTTP Chunks Sent,1.00,1.00,1.00,111223.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,107.00,1284.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60
HTTP Connection Overhead (ms),0.01,0.00,107.00,1489.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67
HTTP Connection Reused (ratio),1.00,0.00,1.00,111085.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1329136.57,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,72692.34,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,23.54,204.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
HTTP Duration (excl. conn) (ms),17.53,2.97,505.75,1949910.48,5.16,6.20,6.87,8.37,10.97,16.47,30.45,49.27,132.31,23.42
HTTP Receiving (ms),0.05,0.00,30.78,5310.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.10,0.42
HTTP Sending (ms),0.56,0.05,128.15,62353.09,0.06,0.08,0.09,0.12,0.15,0.22,0.62,1.72,8.72,2.82
HTTP Total Time (ms),17.54,2.97,505.75,1951399.76,5.16,6.20,6.87,8.37,10.97,16.47,30.46,49.27,133.00,23.48
HTTP Waiting (TTFB) (ms),16.92,2.74,505.49,1882246.77,4.89,5.93,6.61,8.09,10.66,15.98,29.44,47.73,126.69,22.52
Inter Chunk Latency (ms),0.00,0.00,28.59,3077.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),17.75,3.01,528.71,1973772.83,5.21,6.26,6.94,8.45,11.07,16.66,30.92,50.00,133.74,23.75
Time to First Output Token (ms),17.72,2.86,528.71,1970695.78,5.15,6.21,6.90,8.42,11.05,16.64,30.91,49.99,133.74,23.76
Time to First Token (ms),17.72,2.86,528.71,1970695.78,5.15,6.21,6.90,8.42,11.05,16.64,30.91,49.99,133.74,23.76
Time to Second Token (ms),0.00,0.00,0.93,2.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.25
Request Count,111223.00
Request Throughput (requests/sec),2457.50


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
