Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Active Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Credit-to-Start Latency (ms),19.08,0.35,744.24,1749378.14,0.81,1.55,2.32,4.46,8.88,18.22,42.04,69.86,185.08,34.72
Decode Duration (ms),0.03,0.00,35.34,2536.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.28
Effective Concurrency,34.62,0.00,128.00,,,,,,39.00,,59.00,64.00,78.00,21.27
Effective Decode Concurrency,0.09,0.00,5.00,,,,,,0.00,,0.00,1.00,1.00,0.30
Effective Decode Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Decode Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Latency (CO-aware) (ms),36.13,4.58,983.96,3312178.68,6.87,8.76,10.16,13.66,20.29,34.51,72.68,115.86,297.04,53.24
Effective Prefill Concurrency,34.53,0.00,128.00,,,,,,39.00,,59.00,64.00,78.00,21.23
Effective Prefill Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Prefill Throughput Per User (tokens/sec/user),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
Effective Total Throughput (tokens/sec),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1.06,1.00,4.00,97559.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,0.25
HTTP Chunks Sent,1.00,1.00,1.00,91678.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,127.17,1239.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60
HTTP Connection Overhead (ms),0.02,0.00,127.17,1508.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74
HTTP Connection Reused (ratio),1.00,0.00,1.00,91540.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.04
HTTP Data Received (KB),11.95,11.95,11.95,1095570.01,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,11.95,0.00
HTTP Data Sent (KB),0.65,0.38,0.92,59916.04,0.49,0.53,0.56,0.60,0.65,0.70,0.75,0.78,0.83,0.08
HTTP DNS Lookup (ms),0.00,0.00,37.52,268.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23
HTTP Duration (excl. conn) (ms),16.80,3.30,451.99,1539967.10,4.69,5.62,6.29,7.78,10.60,16.41,30.97,48.54,117.17,21.65
HTTP Receiving (ms),0.04,0.00,35.36,3872.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.95,0.36
HTTP Sending (ms),0.59,0.05,133.62,53842.19,0.07,0.09,0.10,0.13,0.17,0.24,0.86,2.19,8.72,2.38
HTTP Total Time (ms),16.81,3.30,451.99,1541475.82,4.69,5.62,6.29,7.78,10.60,16.41,30.97,48.56,117.73,21.75
HTTP Waiting (TTFB) (ms),16.17,2.94,435.92,1482252.18,4.44,5.36,6.01,7.48,10.22,15.84,29.84,46.61,112.65,20.91
Inter Chunk Latency (ms),0.00,0.00,35.34,2536.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
Request Latency (ms),17.03,3.36,464.25,1561459.13,4.77,5.70,6.37,7.88,10.74,16.62,31.43,49.29,118.73,21.96
Time to First Output Token (ms),17.00,3.24,464.25,1558922.87,4.72,5.66,6.32,7.84,10.71,16.60,31.42,49.28,118.73,21.97
Time to First Token (ms),17.00,3.24,464.25,1558922.87,4.72,5.66,6.32,7.84,10.71,16.60,31.42,49.28,118.73,21.97
Time to Second Token (ms),0.00,0.00,3.32,11.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
Tokens In Flight (tokens),0.00,0.00,0.00,,,,,,0.00,,0.00,0.00,0.00,0.00

Metric,Value
Benchmark Duration (sec),45.12
Request Count,91678.00
Request Throughput (requests/sec),2030.82


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
